order_id,CUST ID,First Name,last_name,date,product,category,region,price,qty,quantity,rating,gender,margin_pct,tags,age,SALES_AMT,DOB,Reg?,sales_amount,channel,payment_mode,unit_cost,profit
ORD-013764,CUST-5742,Emeka,Okonkwo,2024-03-20,Printer,Electronics,Port Harcourt,89000.0,0,0,3.8,M,31.8,promo,26,89000.0,1998-08-28,Yes,89000.0,In-Store,Mobile App,60700.0,28300.0
ORD-010224,CUST-7709,Taiwo,Adewale,2024-02-21,Standing Desk,Furniture,Abuja,131500.0,20,20,4.0,Male,29.2,"new_customer,seasonal,loyalty",39,2630000.0,1985-05-22,Yes,2630000.0,Wholesale,Cash,93100.0,768000.0
ORD-011058,CUST-2221,Ngozi,Suleiman,2024-12-05,Phone,Electronics,Port Harcourt,150800.0,3,3,3.7,,32.56,"new_customer,loyalty",31,452400.0,1993-03-18,Yes,452400.0,Online,Cash,101700.0,147300.0
ORD-013395,CUST-6372,Ngozi,Adewale,2024-06-22,Notebook A4,Stationery,Ibadan,3300.0,3,3,3.8,M,42.42,online_exclusive,34,9900.0,1990-09-05,No,9900.0,In-Store,Bank Transfer,1900.0,4200.0
ORD-012077,CUST-4772,Hauwa,Okonkwo,2024-05-03,Face Cream,Health,Ibadan,16500.0,5,5,5.0,F,41.21,vip,32,82500.0,1992-01-22,No,82500.0,Wholesale,Mobile App,9700.0,34000.0
ORD-012951,CUST-3575,Ola,Bello,2024-09-11,Cooking Oil,Groceries,Lagos,33100.0,2,2,4.2,M,39.58,"seasonal,first_purchase",62,66200.0,1962-12-01,Yes,66200.0,B2B,Bank Transfer,20000.0,26200.0
ORD-013818,CUST-7986,Chidi,Bello,2024-09-13,Monitor,Electronics,Enugu,178100.0,10,10,,Female,35.2,"first_purchase,new_customer,online_exclusive",37,1781000.0,1987-01-26,No,1781000.0,B2B,POS,115400.0,627000.0
ORD-013519,CUST-2878,Taiwo,Lawal,2024-12-25,Pens 50pk,Stationery,Kano,4100.0,10,10,3.0,Female,34.15,online_exclusive,42,41000.0,1982-08-25,No,41000.0,B2B,POS,2700.0,14000.0
ORD-011917,CUST-1540,Musa,Okonkwo,2024-10-24,Sugar 25kg,Groceries,Kano,20600.0,2,2,1.0,Female,37.86,"seasonal,promo,first_purchase",44,41200.0,1980-08-23,Yes,41200.0,B2B,Bank Transfer,12800.0,15600.0
ORD-011146,CUST-2353,Adaeze,Adewale,2024-06-21,Stapler,Stationery,PORT HARCOURT,9000.0,2,2,4.1,Male,36.67,vip,51,18000.0,1973-02-23,No,18000.0,Wholesale,POS,5700.0,6600.0
ORD-013578,CUST-7312,Bisi,Hassan,2024-03-15,Face Cream,Health,Port Harcourt,,3,3,3.3,Male,39.09,"first_purchase,new_customer",29,33000.0,1995-12-26,Yes,33000.0,Wholesale,USSD,6700.0,12900.0
ORD-013333,CUST-2259,Seun,Eze,2024-08-17,Stapler,Stationery,Kano,9400.0,3,3,4.7,F,40.43,first_purchase,56,28200.0,1968-10-15,No,28200.0,In-Store,POS,5600.0,11400.0
ORD-010097,CUST-8672,Kemi,Idris,2024-08-15,Cooking Oil,Groceries,Abuja,27400.0,5,5,5.0,M,40.88,vip,38,137000.0,1986-06-02,Yes,137000.0,Wholesale,USSD,16200.0,56000.0
