TransactionID,Date,Store,ProductName,Category,Quantity,UnitPrice,TotalAmount,PaymentMethod,CustomerName,CustomerPhone,State,CashierID,DiscountApplied
TXN1418,not set,Prodigy Mart Ikeja,Dettol Soap,personal care,-1,517.14 naira,N517,Cash,unknown,03987801573,Kano,EMP117,TRUE
TXN1142,31 March 2025,Prodigy Mart Lekki,Rice Bag 50kg (Mama Gold),Groceries,5,"N65,982","NGN 329,912",Transfer,Zainab Nnamdi,(411) 998-6798,ABUJA,EMP134,false
TXN1230,20-May-2025,PRODIGY MART IKEJA,indomie noodles carton,GROCERIES,2,"₦4,179.02","₦8,358.04",cash,Segun Okonkwo   ,86688263435,Oyo,EMP106,1
TXN1340,08/09/2025,prodigy mart abuja wuse,Always Sanitary Pad,Personal Care,1,"NGN 1,019",1018.8035216173469,ATM Card,N/A,03271040541,Oyo,EMP138,0
txn1410,2026/06/03,  prodigy mart abuja wuse,Rice Bag 50Kg (Mama Gold),Unknown,2,60610.29750995913,121220.60 naira,Mobile Money,  Amara Nnamdi,0438 057 1983,rivers,EMP105,FALSE
TXN1445,20 January 2026,Prodigy Mart Abuja Wuse,Milo 900g,BEVERAGES,0,4381.351021591377,"N4,381",Card,Amara Eze,+234773926030,Abuja,EMP106,Y
txn1234,29/03/2026,PRODIGY MART LEKKI,Close-Up Toothpaste,Personal Care,-1,₦637.27,N637,cash,Blessing  Abubakar,+234678544587,KANO,EMP139,false
TXN1159,00/00/0000,  PRODIGY MART IKEJA,Hollandia Yoghurt,dairy,1,N958,957.6719744341974,ATM Card,Yusuf Adekunle,,Abuja,EMP109,0
TXN1347,01 June 2025,  Prodigy Mart Abuja Wuse   ,Hollandia Yoghurt,DAIRY,1,852.4906596461177,,ATM Card,Chioma Okafor,0704 774 3490,Fct Abuja,EMP137,No
TXN1146,29 March 2025,Prodigy Mart Abuja Wuse,Dangote Sugar 1kg,Groceries,10,"1,164.37 ",11643.699150145756,Bank Transfer,Chidi Ogundimu,invalid,Lagos State,EMP134,Yes
TXN1379,2026-02-27,Prodigy Mart Surulere,  Close-Up Toothpaste   ,Personal Care,0,₦633.22,633.2169180941024,Cash,Tobi Balogun,08985625753,Oyo State,EMP128,no
TXN1432,2025/01/08,PRODIGY MART YABA,golden penny spaghetti,Groceries,1,967.5108875505288,967.5108875505288,Transfer,Musa Suleiman,0759 492 9955,rivers,EMP101,N
TXN1277,03/22/2025,Prodigy Mart Yaba,HOLLANDIA YOGHURT,dairy,1,₦816.26,₦816.26,POS,  Wale Ajayi   ,234-887-676-772,Fct Abuja,EMP101,1
TXN1253,05/01/2025,Prodigy Mart Ikeja,Rice Bag 50kg (Mama Gold),Groceries,unknown,68691.75929394628,"₦137,383.52",ATM Card,  Segun Eze,0861 015 8199,ABUJA,EMP109,1
TXN1433,2026/04/22,Prodigy Mart Lekki,Close-Up Toothpaste,PERSONAL CARE,2,NGN 646,1292.0459917640787,Mobile Money,Emeka Suleiman,+234053364525,Fct Abuja,EMP113,Y
TXN1371,2025/10/17,Prodigy Mart Lekki,Maggi Cubes Pack,GROCERIES,0,371.41913839638073,NGN 371,Cash,  Ibrahim Mohammed,+234353465549,Port Harcourt,EMP126,1
TXN1381,23.01.2025,prodigy mart abuja wuse,Kings Vegetable Oil 5L,COOKING OIL,2,"N8,367",16733.59 naira,ATM Card,  Aliyu Lawal,0506 489 0901,oyo,EMP133,yes
TXN1148,06-Feb-2025,Prodigy Mart Ikeja   ,Power Oil 1L,?,0,"N2,079",2079.10 naira,cash,Sadiq Olawale,0281 685 0542,Oyo,EMP131,0
TXN1312,27.04.2025,Prodigy Mart Yaba,coca-cola crate,Beverages,10,3645.05 naira,36450.52 naira,cash,Kemi Lawal,(060) 385-0506,Abuja,EMP140,No
TXN1422,18-Jan-2025,Prodigy Mart Ikeja   ,Bournvita 500g,Beverages,1,2919.66 naira,2919.6575083493817,pos,Kunle Adeyemi,03861207501,LAGOS,EMP108,false
TXN1443,05.01.2026,prodigy mart ikeja   ,Peak Milk Tin,DAIRY,-1,1345.48 naira,"N1,345",ATM Card,Femi Mohammed,07908272318,ABUJA,EMP100,TRUE
TXN1331,08/07/2025,Prodigy Mart Yaba,Dettol Soap,Personal Care,5,₦450.08,"NGN 2,250",Bank Transfer,Zainab Okonkwo,234-270-103-930,Lagos,EMP126,true
TXN1009,2025-06-09,Prodigy Mart Lekki,Always Sanitary Pad,PERSONAL CARE,1,"₦1,066.31","₦1,066.31",cash,Blessing Suleiman,+234139537672,Oyo State,EMP137,TRUE
TXN1200,2025/07/06,prodigy mart surulere,Dangote Sugar 1kg,groceries,10,"NGN 1,039",  ,POS,Chinedu Okafor   ,85786527858,Oyo,EMP119,FALSE
TXN1166,14.08.2025,prodigy mart yaba,Dangote Sugar 1kg,Groceries,10,"NGN 1,154","₦11,536.19",Bank Transfer,Segun Suleiman,05415667652,oyo,EMP101,0
TXN1290,2026/06/24,Prodigy Mart Surulere,Close-Up Toothpaste,Personal Care,5,600.61 naira,3003.03 naira,--,Ngozi Bello,05206436110,Lagos,EMP121,FALSE
TXN1181,2026-06-10,PRODIGY MART IKEJA,Bournvita 500g,beverages,1,"NGN 2,543","2,542.95 ",cash,Segun Chukwu,04249818299,Oyo,EMP133,N
TXN1338,N/A,prodigy mart abuja wuse,Kings Vegetable Oil 5L,Cooking Oil,1,"₦8,940.83","₦8,940.83",Mobile Money,Segun Bello,0433 154 1006,Lagos,EMP104,no
TXN1189,29-Jan-2025,Prodigy Mart Abuja Wuse,OMO DETERGENT 1KG,NIL,1,"₦1,406.24","₦1,406.24",cash,Ifeoma Afolabi,+234395004797,ABUJA,EMP107,TRUE
TXN1401,2025-07-16,Prodigy Mart Surulere,Bournvita 500g,Beverages,3,"N3,201","N9,602",Card,Amara Nnamdi,02726149331,Port Harcourt,EMP123,N
TXN1336,13/06/2025,Prodigy Mart Ikeja,Dangote Sugar 1kg,Groceries,0,1220.4157489247343,"1,220.42 ",Cash,Chioma Adeyemi,06902959391,LAGOS,EMP137,No
TXN1453,15-Mar-2026,Prodigy Mart Yaba,  Power Oil 1L,COOKING OIL,1,"2,148.73 ","N2,149",pos,Bola  Bello,05991624731,rivers,EMP104,TRUE
TXN1450,14.06.2025,PRODIGY MART SURULERE,Maggi Cubes Pack,GROCERIES,5,₦395.77,"NGN 1,979",Transfer,n/a,01038862912,Ibadan,EMP107,N
TXN1462,08/24/2025,Prodigy Mart Lekki,kings vegetable oil 5l,Cooking Oil,2,8441.57014644314,"NGN 16,883",cash,Halima Ajayi,30988392053,Fct Abuja,EMP118,true
TXN1465,07/10/2025,Prodigy Mart Lekki,Bournvita 500g,Beverages,0,"N2,979","N2,979",Card,Ngozi Nwosu,(937) 690-4268,FCT,EMP117,1
TXN1170,15-Mar-2026,prodigy mart abuja wuse,Maggi Cubes Pack,unknown,10,339.43 naira,"NGN 3,394",POS,Emeka Balogun   ,234-582-029-702,Abuja,EMP105,Yes
TXN1187,2025-03-19,prodigy mart ikeja,Bournvita 500g,Beverages,10,"NGN 2,965",29648.11 naira,Bank Transfer,Kunle Balogun,+234696325953,KANO,EMP132,0
TXN1121,2026/02/15,PRODIGY  MART IKEJA   ,Coca-Cola Crate   ,--,1,3051.57 naira,"NGN 3,052",Cash,Amaka Okonkwo,234-896-118-367,ABUJA,EMP132,TRUE
TXN1083,07-Feb-2026,prodigy mart surulere   ,DETTOL SOAP,personal care,2,500.73 naira,"₦1,001.46",cash,NULL,0139 904 9027,Oyo State,EMP116,Y
TXN1036,2026/02/15,prodigy mart surulere   ,Milo 900g,BEVERAGES,1,4035.4822985638702,"₦4,035.48",cash,Musa Mohammed,(262) 045-0533,Oyo State,EMP140,no
txn1252,08.05.2025,Prodigy Mart Ikeja,Maggi Cubes Pack,Groceries,-1,374.95 naira,N375,Transfer,Ifeoma Nnamdi,07541212678,Kano,EMP123,No
