TransactionRef,AccountNumber,CustomerName,BankBranch,TransactionType,Channel,Amount,Date,Time,Status,BeneficiaryAccount,PhoneNumber,State,Currency
REF200162,0099949389,Obinna Eze,FIRST BANK Port Harcourt Main,POS Payment,ATM,"1,441,877.47 ",2026-04-15,23:15,Successful,null,06706540515,Plateau,ngn
REF200328,0057683626,Femi Adekunle,Zenith Bank Victoria Island,Bill Payment,mobile app,"₦1,210,293.85",2025/04/08,18:03,SUCCESSFUL,,(078) 593-2133,rivers,Naira
REF200403,0031831063,Wale Chukwu,Access Bank Victoria Island,Loan Repayment,Internet Banking,"N667,789",2026-02-24,12:21,Successful,0041244663,(798) 270-8086,Delta,Naira
REF200200,0058966946,Ngozi Yusuf,WEMA BANK Ikeja,Salary Credit,Mobile App,"₦839,658.83",00/00/0000,07:03,Reversed,NIL,(857) 865-2785,Kaduna,ngn
REF200331,0045935572,EMEKA OKONKWO,Sterling Bank Victoria Island,Bill Payment,POS,Unknown,22.06.2025,11:01 PM,Pending,0047295260,42701039308,Edo,USD
REF200471,0042868828,Amaka Afolabi,gtbank Victoria Island,Deposit,POS,"₦1,182,310.46",17.04.2026,07:34 PM,successful,  ,+234333395211,Oyo,ngn
REF200346,0045503389,Kemi Lawal,Fidelity Bank Port Harcourt Main,Withdrawal,Internet Banking,638154.2,11/05/2025,21:19,Reversed,,07741862565,Ogun,NGN 
REF200226,0038538251,Zainab Balogun,UBA Wuse 2,Withdrawal,Internet Banking,"NGN 799,517",27/10/2025,03:25 PM,Successful,NULL,02843959953,Lag,Naira
REF200133,0023718431,Femi Lawal,GTBank Ikeja,Salary Credit,USSD,1247332.48,2025/07/26,12:13 PM,Pending,null,02445107622,Abuja,NGN
REF200134,0014265799,Ifeoma Adeyemi,GTBank Port Harcourt Main,Transfer,ussd,NIL,17.11.2025,14:32,Successful,0019335534,0838 851 6060,Plateau,NGN 
REF200020,0097971488,Bisi Lawal,Wema Bank Port Harcourt Main,Airtime Purchase,ATM,"653,512.97 ",19-Jun-2026,10:12 PM,successful,,0473 829 9737,Akwa Ibom,ngn
REF200012,0072043515,Musa Olawale,Zenith Bank Apapa,Airtime Purchase,POS,1388399.96 naira,07/21/2025,12:25 PM,Reversed,,(669) 784-8018,Ogun,ngn
REF200259,0089254563,Zainab  Lawal,GTBank Wuse 2,Bill Payment,Internet Banking,"NGN 885,713",unknown date,11:02,Successful,?,0265 479 3564,Ibadan,NGN
REF200376,0022575562,Adaeze Adeyemi,sterling bank Ikeja,POS Payment,Branch,164222.25 naira,02/21/2025,22:03,Pending,,(666) 676-0083,Imo,USD
REF200458,0035808537,Fatima Abubakar   ,ZENITH BANK Victoria Island,Withdrawal,POS,562983.36,03/31/2026,07:07 AM,Successful,null,0621 372 1386,Lagos State,NGN 
REF200002,0022448136,Halima Ajayi,UBA Victoria Island,Deposit,ussd,"₦1,143,062.32",04.06.2026,03:37,Failed,0085345555,00013389083,Abuja,NGN
REF200369,0039345092,Zainab Okafor,UBA Wuse 2,Airtime Purchase,Agent Banking,"NGN 985,603",2026/01/16,04:57,failed,  ,0099 353 8758,Kaduna,ngn
REF200313,0083140807,Fatima Lawal,Access Bank Ikeja,Salary Credit,ATM,"₦432,866.22",N/A,05:49,Failed,0088461803,0138 367 0241,Edo,USD
REF200462,0041227216,Ngozi Nwosu,Zenith Bank Port Harcourt Main,Loan Repayment,USSD,"NGN 1,278,027",2025/07/20,04:17,Pending,?,(309) 883-9205,Imo,ngn
REF200378,0014265799,Chidi Olawale,wema bank Wuse 2,Deposit,Branch,788141.14,21.06.2025,05:00,failed,N/A,(168) 942-1044,Plateau,NGN
REF200399,0031931511,   Kemi Okonkwo   ,Fidelity Bank Garki,POS Payment,USSD,"NGN 1,173,748",2025-01-13,04:14,successful,0018883684,234-037-589-975,Akwa Ibom,NGN 
REF200270,0046913810,Bisi Okafor   ,Sterling Bank Victoria Island,Loan Repayment,Mobile App,"N1,427,785",13 June 2026,11:17 PM,Reversed,,234-093-796-603,Enugu,NGN 
REF200502,0016150444,  Ngozi Bello   ,access bank Ikeja,Loan Repayment,Internet Banking,"₦692,729.51",02/17/2026,03:49 PM,successful,0030868105,06452088147,Delta,NGN 
REF200008,0058966946,  Tobi Eze   ,access bank Garki,POS Payment,ATM,"N1,480,856",26 June 2026,00:16,failed,0032969840,234-648-350-305,lagos,ngn
REF200197,0022448136,  Tobi Olawale,FIDELITY BANK Victoria Island,Airtime Purchase,POS,693973.88,28 February 2026,01:54,Failed,,74993097289,Akwa Ibom,ngn
REF200074,0023556182,Amara  Adeyemi,First Bank Port Harcourt Main,POS Payment,Mobile App,1348384.58 naira,02 April 2026,01:53,Successful,null,+234775204711,Cross River,NGN 
REF200205,0099949389,Funmilayo Bello,ACCESS BANK Wuse 2,Bill Payment,Internet Banking,"NGN 423,673",02/01/2025,08:01 AM,Successful,unknown,+234330833016,Fct Abuja,NGN 
REF200362,0019335534,Tunde Abubakar,Wema Bank Port Harcourt Main,-,ATM,1001731.35 naira,2026/03/07,07:13 AM,failed,,08552414060,Imo,NGN 
REF200434,0093016315,CHIOMA BALOGUN,UBA Garki,Salary Credit,ussd,"NGN 1,068,179",09-Jan-2026,03:48,Successful,,234-754-781-291,Edo,ngn
REF200177,0042868828,OBINNA ABUBAKAR,FIRST BANK Victoria Island,NULL,ussd,988507.1,2025/02/14,04:25 AM,SUCCESSFUL,,78291146786,Lagos,ngn
REF200086,0013561597,Kunle  Mohammed   ,First Bank Apapa,Withdrawal,Internet Banking,443421.53 naira,10 September 2025,02:30,Successful,0058966946,(154) 516-8087,Cross River,ngn
REF200415,0052339391,kemi ogundimu,First Bank Victoria Island,Loan Repayment,ussd,"NGN 908,735",16 November 2025,11:02 AM,Successful,,(202) 590-9479,Plateau,NGN
REF200084,0021668732,Kemi Suleiman,GTBANK Apapa,Deposit,Internet Banking,1351958.8,02-May-2026,09:15,Pending,0031429110,0742 967 1756,Edo,USD
REF200054,0072043515,Halima Chukwu,Zenith Bank Garki,Deposit,ussd,"₦922,406.97",2025-09-04,07:28 PM,Successful,0083197857,03669096705,Edo,NGN
REF200040,0058966946,Chioma Ajayi,First Bank Garki,Loan Repayment,USSD,"98,990.51 ",09.10.2025,21:18,failed,0035808537,0458 685 0142,Kaduna,NGN 
