EmployeeID,FullName,Department,JobTitle,Gender,DateOfBirth,HireDate,Email,PhoneNumber,MaritalStatus,EmploymentType,MonthlySalary,State,YearsOfExperience,Active
PTH-2160,Amara Okafor,Operations,Supervisor,F,25-Dec-2012,10/17/2020,amara.okafor@prodigytraininghub.com,(893) 246-0953,Divorced,Full time,"₦534,111.07",Edo,5,FALSE
PTH-2157,   Amara Yusuf,marketing,Officer,M,01/07/1980,27 May 2019,amara.yusuf@yahoo.com,04727790104,SINGLE,Full-Time,"NGN 1,078,410",Delta,2,no
PTH-2173,yusuf olawale,customer service,Coordinator,female,09 September 2010,09-Jul-2024,yusuf.olawale@prodigytraininghub.com,N/A,single,Part-Time,"NGN 159,905",Enugu,0,0
PTH-2161,Tunde Okafor,FINANCE,Coordinator,Male,19 December 1986,30/07/2017,tunde.okafor@prodigytraininghub.com,(621) 851-8888,Single,FT,511717.31 naira,Kaduna,-1,1
PTH-2032,Chinedu Suleiman,Sales Dept,Analyst,Female,02/07/1977,2022/12/17,chinedu.suleiman@gmail.com,0808 412 4118,SINGLE,Contract,"NGN 428,040",Imo,99,Y
PTH-2132,Bola Olawale,Ops,Intern,male,2000/09/13,05/07/2018,bola.olawale@yahoo.com,(840) 369-0034,Single ,Contract,201077.07,Edo,12,yes
PTH-2235,Ibrahim Okeke,Procurement,Manager,male,08/09/1994,06/10/2024,ibrahim.okeke@yahoo.com,+234753556093,Divorced,Part-Time,"₦578,687.06",Kaduna,1,no
PTH-2215,  Blessing Nnamdi,Procurement,Analyst,male,2003-09-02,20/08/2024,blessing.nnamdi@gmail.com,(279) 568-7833,married,Full time,"NGN 952,334",Lagos,3,FALSE
PTH-2177,Kemi Ajayi,finance,Unknown,Male,05/06/1990,02/21/2022,kemi.ajayi@yahoo.com,,NULL,Contract Staff,771856.94 naira,Cross River,12,0
PTH-2167,Amaka Okeke,procurement,Coordinator,Male,1981-07-24,2025/09/23,amaka.okeke@prodigytraininghub.com,234-758-416-169,Single ,Full-Time,1061246.61,Oyo,8,no
PTH-2069,Chidi Chukwu,finance,Director,F,1976-01-04,01 November 2019,chidi.chukwu@gmail.com,(436) 349-5788,Married,Part-Time,"NGN 1,068,350",Cross River,5,no
PTH-2294,Amaka Adeyemi,Finance,Executive,f,1980/09/10,23/04/2020,amaka.adeyemi@prodigytraininghub.com,0753 269 7311,married,Part-Time,1153858.98,Lagos,12,FALSE
PTH-2101,Segun Suleiman,FINANCE,Coordinator,m,08.10.2004,01/02/2018,segun.suleiman@gmail.com,invalid,married,Part-Time,688278.92 naira,Abuja,2,false
PTH-2332,Amara Suleiman,Procurement,Analyst,F,13/11/1972,24 June 2020,amara.suleiman@yahoo.com,234-059-325-250,?,full time,"N661,169",Abuja,-1,No
PTH-2223,IBRAHIM ABUBAKAR,Finance,Intern,f,08/14/1990,,ibrahim.abubakar@yahoo.com,0786 863 3752,Married,Full time,931707.45 naira,Akwa Ibom,12,Yes
PTH-2046,Segun Eze,Sales Dept,Officer,F,1982-11-26,2025-11-10,segun.eze@prodigytraininghub.com,0773 872 1489,Single,Full time,"₦752,459.30",Oyo,3,no
PTH-2261,Kemi Yusuf,human resources,Officer,F,30.08.2008,2025/08/11,kemi.yusuf@prodigytraininghub.com,+234416724342,Single,Full time,"NGN 991,022",Delta,2,true
PTH-2066,Wale Nwosu,Ops,Specialist,male,21/05/1977,05/30/2018,wale.nwosu@yahoo.com,37996507527,married,Full-Time,"261,402.99 ",Lag,3,FALSE
PTH-2290,Yusuf Afolabi,Legal,Coordinator,Female,2010/06/09,18 January 2015,yusuf.afolabi@prodigytraininghub.com,0520 643 6110,Married,FT,"90,728.05 ",Kaduna,8,false
PTH-2326,TUNDE YUSUF,CUSTOMER SERVICE,Intern,female,20 June 1980,2024-01-25,tunde.yusuf@prodigytraininghub.com,0838 065 7875,Single ,Contract Staff,330376.94,Imo,1,FALSE
PTH-2249,Bisi Yusuf,SALES,Coordinator,male,21-Dec-1994,25 December 2016,bisi.yusuf@yahoo.com,(996) 504-7735,SINGLE,Contract,818540.35 naira,Enugu,3,1
PTH-2130,Tobi Okafor,Procurement,Intern,male,1998/07/03,14/06/2019,?,+234290147679,Widowed,full time,"NGN 1,113,842",Enugu,nil,true
PTH-2276,Sadiq Abubakar,PROCUREMENT,Supervisor,f,29/06/1977,2016-03-07,sadiq.abubakar@gmail.com,+234257905072,SINGLE,Full-Time,"NGN 785,517",Cross River,12,TRUE
PTH-2191,Tobi Chukwu,Sales,Supervisor,m,08-Jun-1987,2015/09/30,tobi.chukwu@prodigytraininghub.com,(098) 358-4168,Married,PT,"N819,618",Plateau,Unknown,yes
PTH-2346,Chidi Okeke,marketing,Supervisor,m,03/04/2003,2019/01/16,chidi.okeke@yahoo.com,77418625652,Widowed,PT,Unknown,Ogun,5,0
PTH-2140,Musa Adekunle,sales,Intern,M,14-Jan-1986,2018-09-08,musa.adekunle@gmail.com,0995 527 1774,Divorced,Full-Time,1081870.93,ABUJA,12,true
PTH-2050,Aliyu Okeke,FINANCE,Supervisor,F,11/19/2007,2019/11/24,aliyu.okeke@prodigytraininghub.com,234-788-957-986,married,Contract,"NGN 198,567",rivers,1,true
PTH-2314,  Chinedu Nwosu,Sales Dept,Analyst,female,05/09/1996,08/24/2020,NIL,0386 571 9182,married,Contract Staff,"N869,185",Cross River,-1,1
PTH-2216,Yusuf Okeke,sales,Officer,male,25 March 1998,09.09.2015,N/A,(187) 851-9108,Divorced,Contract Staff,"609,939.80 ",Oyo,2,TRUE
PTH-2098,Ifeoma Abubakar,Customer Service,Manager,F,1971/04/24,09/06/2019,ifeoma.abubakar@yahoo.com,+234400504556,married,PT,"₦905,874.97",Edo,12,true
