StudentID,StudentName,Class,Gender,DateOfBirth,Subject,CA_Score,ExamScore,TotalScore,Grade,GuardianName,GuardianRelationship,GuardianPhone,State,TermSession,FeesPaid
STU3189,SADIQ OLAWALE,Jss 1,Female,10/29/2013,Agricultural Science,,150,100,D,Kunle Ajayi,father,33950047974,Kano,First Term 2025,No
STU3294,Ibrahim Ogundimu,SS1,Female,09/28/2014,Mathematics,1,76,76,D,tobi balogun,Mother,07532697311,Enugu,2025/2026 First Term,no
STU3028,ifeoma afolabi,JSS1,M,13.06.2007,Further Mathematics,30,-5,0,Distinction,Aliyu Lawal,Father,234-399-091-699,Enugu,"2025/2026, Term 1",yes
STU3205,Chinedu Okafor,Jss 1,M,2013-02-21,English Language,N/A,1,1,D,  Musa Eze,father,93308330165,Ogun,2025-2026 1st Term,No
STU3018,Funmilayo Olawale   ,SS 1,F,01/17/2010,Biology,24,17,17,Distinction,CHIOMA LAWAL,MOTHER,71331509839,Plateau,2025-2026 1st Term,0
STU3090,Amaka Mohammed,SS 1,F,20/04/2008,Computer Studies,28,105,100,B,Chinedu Olawale,Mother,(846) 773-7826,Port Harcourt,"2025/2026, Term 1",N
STU3080,Fatima Olawale,SS3,M,16-Sep-2008,Civic Education,31,72,72,C,Chidi Suleiman,Father,03618324210,Akwa Ibom,2025/2026 First Term,Yes
STU3099,  Emeka Bello,JSS3,Female,18 October 2007,  ,10,93,93,C,Wale Afolabi,Mother,(386) 922-2196,Plateau,"2025/2026, Term 1",no
STU3235,Obinna Afolabi,JSS2,F,2008/11/03,Basic Science,30,105,100,a,Kemi Lawal,Guardian,01753556093,Ogun,2025/2026 First Term,Y
STU3344,ADAEZE SULEIMAN,SS3,F,02/05/2012,Basic Science,1,18,18,C,BOLA MOHAMMED,MOTHER,+234720506149,Edo,First Term 2025,Y
STU3218,Blessing Okafor,SS2,F,2014/01/11,Geography,34,-5,0,Distinction,  Ifeoma Olawale,Father,234-187-072-867,Delta,2025/2026 First Term,no
STU3349,Kunle Bello,SS2,M,22.11.2014,Mathematics,--,,100,F,Amaka Nnamdi,Uncle,0687 937 4160,Kano,"2025/2026, Term 1",Yes
