SubscriberID,FullName,PhoneNumber,Network,PlanType,RegistrationDate,DataBundle,DataUsed_MB,CallMinutesUsed,SMSCount,MonthlySpend,State,SIM_Status,NIN_Linked
SUB600444,obinna nwosu,03222591365,glo,Postpaid,29/04/2019,5 gb,99999,-10,29,"N22,349",Imo,Suspended,true
SUB600447,  FATIMA OLAWALE,(286) 990-4137,mtn,Prepaid,11/12/2021,10GB,3492.2,-10,22,15259.19,Rivers,active,true
SUB600437,Obinna Okafor,(639) 427-8816,Glo,Pay As You Go,01.03.2019,No active bundle,-50,88,381,4684.0,Anambra,Inactive,0
SUB600296,Sadiq Abubakar   ,234-999-404-389,AIRTEL,Pay As You Go,2018/03/26,2GB,-50,-10,243,"₦15,208.35",Enugu,Suspended,FALSE
SUB600294,Yusuf Afolabi,234-532-697-311,MTN,prepaid,2024/05/26,2GB,7363.3,-10,41,17838.81 naira,Edo,Suspended,FALSE
SUB600311,Amara Okafor,(493) 759-7383,AIRTEL,PAYG,05.05.2021,No active bundle,3625.2,2731,266,3078.06 naira,Kano,Suspended,0
SUB600440,Kemi Yusuf,0303 856 7700,9mobile,Pay As You Go,28 July 2019,5 gb,7387.8,-10,297,15628.14 naira,lagos,Inactive,No
SUB600263,Grace Yusuf,(058) 911-3529,AIRTEL,Postpaid,2021/09/18,2 GB,-50,1961,282,"N1,107",Kano,Suspended,Yes
SUB600286,Wale Ogundimu,,glo,POSTPAID,19-Oct-2019,500MB,99999,411,--,"15,251.84 ",Plateau,Suspended,0
SUB600260,Tobi  Suleiman,+234193982807,glo,Pay As You Go,03-Sep-2022,No active bundle,-50,-10,356,13937.48 naira,Ogun,Inactive,yes
SUB600445,  Adaeze Olawale,77739260302,MTN,Postpaid,03.05.2018,No active bundle,3371.2,-10,486,18612.59,Delta,Inactive,yes
SUB600336,Halima Suleiman,06902959391,Glo,Prepaid,2023-08-18,10GB,-50,-10,309,24960.92,Plateau,BLACKLISTED,yes
SUB600013,Ibrahim Okonkwo,51462704828,mtn,Prepaid,22 February 2022,1.5GB,99999,-10,54,"NGN 4,308",Kano,Inactive,true
SUB600062,Amaka Ogundimu,234-663-193-149,Airtel,POSTPAID,2020-06-28,N/A,7077.0,-10,unknown,"₦17,553.76",Plateau,active,0
SUB600100,Segun Suleiman,03792374740,Glo,POSTPAID,03/01/2019,5 gb,99999,2342,86,7877.72 naira,FCT,active,yes
SUB600175,Fatima Nnamdi   ,(551) 884-4225,AIRTEL,prepaid,2025-07-01,No active bundle,-50,-10,334,"NGN 2,407",Imo,Inactive,TRUE
SUB600150,Yusuf Balogun,(805) 929-6222,mtn,Pay As You Go,2021/06/07,5GB,-50,1471,464,"NGN 10,383",Plateau,Inactive,N
SUB600185,Bisi Olawale,05925556258,9mobile,Prepaid,23-Sep-2020,10GB,-50,-10,264,"NGN 17,670",Oyo State,Active,TRUE
SUB600039,Musa Balogun,75433036541,MTN,POSTPAID,28.05.2018,2GB,99999,118,28,"₦9,683.61",Anambra,active,FALSE
SUB600064,Ngozi Yusuf,(716) 572-6284,mtn,Pay As You Go,22 January 2026,unknown,--,-10,182,8947.66,Edo,Active,FALSE
SUB600188,Chinedu Okafor,(787) 747-0168,glo,prepaid,2025-09-24,10GB,-50,-10,217,"NGN 17,667",Akwa Ibom,active,yes
SUB600412,Aliyu Mohammed,234-439-735-989,mtn,Postpaid,24/06/2024,5GB,-50,-10,81,"₦5,492.18",Enugu,Active,true
SUB600060,FUNMILAYO AJAYI,00923271937,9mobile,prepaid,06/04/2025,2 GB,-50,1838,158,  ,Ogun,active,0
SUB600274,Yusuf Okafor,(341) 252-8669,AIRTEL,PAYG,02/14/2022,1000MB,-50,NULL,173,21178.72 naira,Kano,Active ,0
SUB600275,Bisi Okeke,96627828274,mtn,POSTPAID,14 February 2021,1.5GB,99999,-10,118,"₦3,797.91",Lagos,active,true
SUB600137,GRACE AJAYI   ,0681 645 3521,9mobile,POSTPAID,2025-06-04,2GB,3842.6,-10,unknown,"NGN 11,894",Oyo,Inactive,false
SUB600361,Aliyu Okafor,+234103579727,AIRTEL,prepaid,2019/03/09,2GB,-50,-10,354,"N5,983",Imo,BLACKLISTED,No
SUB600169,Chidi Ajayi,02757059640,Glo,Pay As You Go,12.03.2025,1.5GB,99999,-10,n/a,"₦13,569.96",Enugu,BLACKLISTED,yes
SUB600329,Ifeoma Suleiman,234-039-652-239,Glo,Prepaid,2024/07/18,Unknown,6204.0,2291,100,"NGN 16,194",Fct Abuja,Active ,false
SUB600417,Tunde Okeke,88615335554,Glo,prepaid,29 May 2022,1000MB,99999,1531,Unknown,6700.06 naira,Ogun,Active ,TRUE
SUB600113,Bisi Afolabi,+234064317139,Airtel,Postpaid,10.07.2019,10GB,-50,2004,137,"₦9,691.72",Cross River,Active,1
SUB600134,  Funmilayo Balogun,0838 851 6060,MTN,prepaid,2019/07/31,2GB,-50,unknown,375,4575.29 naira,Imo,active,no
SUB600271,Tobi Okafor,+234191825537,Airtel,PAYG,20/05/2021,5GB,6036.4,-10,437,"NGN 18,350",Ogun,Active,No
SUB600318,musa olawale,04741124903,MTN,Postpaid,30 August 2018,No active bundle,99999,-10,unknown,"₦14,051.47",lagos,Active,yes
SUB600270,Halima Olawale,+234093796603,Airtel,Postpaid,13-Sep-2024,nil,-50,1766,16,"₦13,080.24",Abuja,Active,No
SUB600125,  Blessing Balogun,+234451983273,Glo,prepaid,06.03.2022,1000MB,99999,-10,38,3834.74,abuja,active,0
SUB600021,Kunle Ogundimu,0311 656 6701,mtn,PAYG,01-Jul-2019,5 gb,99999,-10,126,7294.13,Delta,Active ,N
SUB600084,  Musa Bello,07429671756,Glo,POSTPAID,20.12.2019,1.5GB,99999,2960,184,"₦2,022.05",Oyo State,Active ,No
SUB600232,Blessing Bello,0013 983 7354,9mobile,Prepaid,23.12.2023,No active bundle,4724.3,-10,120,16905.33,Plateau,BLACKLISTED,0
SUB600450,sadiq bello,invalid,MTN,Pay As You Go,2018-03-19,1.5GB,3077.3,-10,318,10974.96,Plateau,Active,No
SUB600136,Zainab Okafor   ,52975161369,mtn,PAYG,01 June 2023,1.5GB,99999,392,281,"NGN 4,263",Enugu,Active,yes
SUB600381,Aliyu Lawal,05064890901,glo,prepaid,02/02/2018,1000MB,-50,422,437,"NGN 16,045",Rivers State,Inactive,Y
SUB600344,Chioma Adeyemi,87205061497,AIRTEL,POSTPAID,07/03/2020,2GB,85.9,1792,142,"₦4,679.43",Abuja,BLACKLISTED,false
SUB600466,Segun Suleiman,+234184518489,AIRTEL,POSTPAID,14-Sep-2024,500MB,3847.7,1630,247,"N21,668",Edo,Inactive,Yes
SUB600319,Amara Eze,(213) 568-0442,9mobile,POSTPAID,2024/03/19,5 gb,99999,1529,275,"N24,053",Lagos State,BLACKLISTED,yes
SUB600183,Wale Nnamdi,39690784473,Airtel,Pay As You Go,14/05/2025,500MB,n/a,-10,180,"NGN 10,434",Lagos,Active,No
SUB600195,  Ibrahim Okafor,02694958887,glo,POSTPAID,30 September 2019,10GB,0.7,-10,223,4500.1,Enugu,active,N
SUB600115,Amara Lawal,0000000000,MTN,Prepaid,06/19/2019,2 GB,99999,1752,465,"₦16,424.93",Imo,Suspended,No
SUB600452,chioma  adeyemi,06865086376,Glo,prepaid,28-May-2024,,-50,-10,284,?,Anambra,Suspended,No
SUB600052,Yusuf Chukwu,07143455812,MTN,Postpaid,28 October 2021,1GB,-50,-10,226,5781.44 naira,Kaduna,active,No
SUB600118,CHIDI BELLO   ,(178) 390-8470,Glo,PAYG,unknown date,10GB,-50,-10,401,23889.45 naira,ABUJA,Active,TRUE
SUB600014,Sadiq Adekunle,01489325288,AIRTEL,POSTPAID,10/02/2025,1GB,-50,1072,282,"₦14,242.22",Imo,Active ,Y
SUB600212,Kemi Chukwu,234-530-463-745,9mobile,Pay As You Go,05/28/2025,10GB,6914.3,Unknown,156,"₦10,138.30",Kaduna,Active ,no
SUB600273,Tunde Nnamdi,05792499125,MTN,prepaid,24-Mar-2023,1.5GB,-50,-10,208,"₦21,456.46",Abuja,active,true
SUB600436,Tobi Nnamdi,(693) 084-8872,AIRTEL,POSTPAID,2024/07/22,5GB,5914.9,-10,102,N501,Abuja,Inactive,N
