ListingID,PropertyTitle,PropertyType,ListingType,Bedrooms,Bathrooms,SizeSqm,Price,PricePeriod,Area,State,AgentName,AgentPhone,ListedDate,Furnished,ServiceCharge
RE-4292,5-Bedroom Land in Ogudu,Detached House,Lease,5,2,113.1,"NGN 2,865,036",Per Annum,OGUDU,lagos,Bisi Bello,234-271-361-115,2025/12/27,true,"NGN 1,154,542"
RE-4056,  6-Bedroom duplex in Ogudu,Detached House,For Sale,6,4,9.1,"₦5,282,964.00",Per Annum,Ogudu,Lagos State,Bola Chukwu,07065627298,13.01.2025,true,"NGN 185,576"
RE-4337,4-Bedroom Detached House in Ikeja GRA,Land,For Sale,4,4,168.2,689628.00 naira,per year,Ikeja  GRA   ,Lagos State,segun mohammed,0251 355 2157,03 April 2026,Yes,519821.0
RE-4198,4-Bedroom Self-Contain in Garki   ,Land,for sale,4,4,499.7,12089658.0,N/A,garki,FCT,Amara Ajayi,06230913075,11/09/2025,0,unknown
RE-4006,2-Bedroom BUNGALOW in Garki,Duplex,For Rent,2,4,1165.3,3163532.00 naira,per annum,Garki,abuja,Ibrahim Abubakar,(103) 413-1647,20.06.2025,TRUE,N/A
RE-4282,-1-Bedroom Flat/Apartment in Gwarinpa   ,Bungalow,For Sale,-1,1,122.8,"NGN 19,248,528",per year,Gwarinpa,Abuja,Ifeoma Okonkwo,0923 309 5849,2025/07/01,true,nil
RE-4225,4-Bedroom Terrace in Lekki,Duplex,For Rent,4,-1,71.8,18207181.0,N/A,Lekki,Lagos,Bola  Lawal,07903067383,2026-05-01,Yes,--
RE-4107,5-Bedroom BUNGALOW in Gwarinpa   ,BUNGALOW,Shortlet,5,2,797.1,"N18,366,934",per year,GWARINPA,abuja,  Halima Okafor   ,(712) 368-5160,15.06.2026,yes,unknown
RE-4201,2-Bedroom  BUNGALOW in Gwarinpa,Duplex,For Sale,2,4,88.5,"24,892,277.00 ",per annum,GWARINPA,Abuja,  Blessing Lawal,0549 733 4843,07.04.2026,Y,N/A
RE-4103,  -1-Bedroom Land in Garki,Flat/Apartment,For Rent,-1,1,642.1,"NGN 20,231,121",Per Annum,Garki,Abuja,CHINEDU NWOSU,N/A,unknown date,Y,637912.0
RE-4293,  -1-Bedroom Self-Contain in Asokoro,Flat/Apartment,Shortlet,-1,4,98.3,2647126.00 naira,per year,Asokoro   ,Abuja,Musa Okeke,0426 221 8909,2025-10-23,Yes,"N1,331,093"
RE-4314,4-Bedroom Flat/Apartment in Garki,Terrace,for sale,4,1,--,"NGN 6,976,122",per annum,Garki,FCT,Kunle Ogundimu,(386) 571-9182,27 May 2026,false,"N479,495"
RE-4052,  0-Bedroom duplex in Ikeja GRA,Duplex,For Rent,0,1,595.9,"N14,234,473",Per Annum,  ikeja gra,Lagos,BISI ADEYEMI,(714) 345-5812,2025/04/26,no,  
RE-4064,1-Bedroom duplex in Garki,duplex,For Rent,1,1,92.3,"₦7,638,815.00",per year,Garki,Abuja,  FEMI NNAMDI,07165726284,23-Feb-2026,TRUE,NIL
RE-4035,4-Bedroom Flat/Apartment in Wuse 2   ,BUNGALOW,For Sale,4,-1,333.7,"₦9,859,844.00",,Wuse 2,abuja,blessing ajayi,0680 112 8059,10/30/2025,no,877108.00 naira
RE-4094,3-Bedroom Flat/Apartment in Ikorodu,Flat/Apartment,For Rent,3,-1,644.6,"5,431,414.00 ",,Ikorodu,Lagos,  Tobi Chukwu,(576) 627-0289,2025-10-08,false,unknown
RE-4083,5-Bedroom Flat/Apartment in Ajah,duplex,Lease,5,1,381.8,"NGN 3,823,330",N/A,Ajah,lagos,amaka adeyemi,0139 904 9027,2025/07/12,No,400810.00 naira
RE-4309,-1-Bedroom BUNGALOW in Garki,Terrace,FOR RENT,-1,1,34.8,"5,510,095.00 ",One-off,Garki,Abuja,Yusuf Bello,05180238061,2026/03/13,no,"N1,180,910"
