ShipmentID,DriverName,VehicleType,VehiclePlateNumber,OriginCity,DestinationCity,DispatchDate,DeliveryDate,Distance_km,PackageWeight_kg,DeliveryStatus,DeliveryFee,CustomerPhone,FuelCost,OnTimeDelivery
SHP700135,Halima Okafor,Bike,LND-662BX,Lagos,Ibadan,11 June 2025,06/15/2025,156.5,176.89,Delivered,23302.00 naira,01596966416,"₦14,919.00",TRUE
SHP700291,Ibrahim Ogundimu,Truck (Big),ABJ-157KL,Lagos,Lagos (Intra-city),2026/05/01,01-May-2026,862.1,455.73,delivered,50064.00 naira,+234129387005,N/A,N
SHP700395,Grace Bello,VAN,PHC-459BX,Enugu,Onitsha,02.04.2025,04/04/2025,303.7,158.61,Returned to Sender,"N59,969",(772) 175-3540,N/A,N
SHP700140,Kemi Chukwu,Truck,ABJ-690KL,Lagos,Abuja,17.06.2025,22-Jun-2025,455.4,48602.8,Delivered,"NGN 33,319",+234955271774,?,FALSE
SHP700285,Chidi Mohammed,bike,KJA-432AA,Lagos,Ibadan,unknown date,26/12/2025,543.5,352878.1,DELAYED,"N79,908",46671168457,"26,845.00 ",true
SHP700087,Tunde Ogundimu,Bike,KJA-782KL,Lagos,Abuja,14/11/2025,2025-11-14,630.3,43563.3,delivered,"NGN 23,147",234-385-977-034,--,yes
SHP700247,Sadiq Suleiman,Bike,KJA-388BX,Lagos,Lagos (Intra-city),21-Jul-2025,21 July 2025,142.1,95.73,DELAYED,"NGN 34,692",0614 293 9685,"N24,306",0
SHP700136,Tobi Ogundimu,Truck (Big),LND-593AA,Port Harcourt,Aba,14.09.2025,17-Sep-2025,540.0,378857.9,Delivered,"NGN 60,018",0529 751 6136,"₦33,201.00",Y
SHP700361,Adaeze Adekunle,Tricycle (Keke),ABJ-267BX,Lagos,Lagos (Intra-city),29-Jan-2026,03/02/2026,239.7,337798.8,DELAYED,"NGN 2,521",0610 357 9727,"N2,440",true
SHP700122,  Adaeze Olawale,Bike,KJA-626KL,Enugu,Onitsha,N/A,01/11/2025,107.7,452.3,Returned to Sender,"₦2,112.00",+234576615654,"₦18,120.00",TRUE
SHP700006,Bola Nnamdi   ,bike,PHC-348BX,Abuja,Kaduna,14/08/2025,19-Aug-2025,11.4,  ,delivered,9718.00 naira,01034131647,9228.00 naira,1
SHP700163,aliyu okonkwo,bike,ABJ-566KL,Lagos,Benin,03/02/2025,08-Feb-2025,468.9,165.89,DELAYED,"NGN 47,464",31952058527,14510.00 naira,N
SHP700003,Kemi Balogun,Tricycle (Keke),PHC-246BX,Abuja,Kaduna,29 November 2025,05-Dec-2025,759.4,402620.4,In Transit,"₦44,045.00",,  ,1
SHP700039,Ibrahim Eze,Truck,ABJ-920KL,Kano,Kaduna,2025-01-20,,46.4,286913.1,Returned to Sender,"₦34,938.00",75433036541,"₦14,657.00",TRUE
SHP700360,Musa Bello,Truck,PHC-785KL,Kano,Kaduna,not set,2025-05-15,522.9,?,DELAYED,"₦34,748.00",0030 705 3457,--,No
SHP700083,Zainab Mohammed,Truck,-,Lagos,Ibadan,2025-05-08,unknown date,90.9,0.84,Cancelled,56233.0,0000000000,Unknown,true
SHP700328,Kemi Adeyemi,Truck (Big),nil,Lagos,Ibadan,21 December 2025,2025/12/27,unknown,nil,Cancelled,59569.00 naira,+234785932133,?,no
SHP700120,Fatima Ajayi,Truck (Big),PHC-949AA,Lagos,Ibadan,2026/01/26,01/29/2026,534.8,27374.2,delivered,7718.0,01249985698,"₦23,151.00",FALSE
SHP700344,  Musa Ajayi,Bike,,Port Harcourt,Aba,2026-04-04,06-Apr-2026,371.8,268.24,DELAYED,"NGN 14,977",(872) 050-6149,"₦37,721.00",Yes
SHP700192,Tobi Olawale,Van,KJA-559KL,Lagos,Abuja,12/02/2025,18.02.2025,322.4,130.57,Delayed,14530.0,84991216558,"NGN 20,009",FALSE
SHP700142,Chinedu Adeyemi,Truck (Big),KJA-984BX,Kano,Kaduna,2025-11-13,2025/11/15,413.1,313.43,Cancelled,"N54,192",(411) 998-6798,NULL,No
SHP700007,Adaeze Suleiman,Bike,ABJ-270BX,Lagos,Benin,13-Oct-2025,15-Oct-2025,419.1,221.84,Cancelled,"N25,318",(255) 341-9283,"₦20,494.00",N
