CaseID,CaseNumber,ClientName,ClientPhone,CaseType,CourtName,AssignedLawyer,DateFiled,NextHearingDate,ClosingDate,CaseStatus,Outcome,LegalFeeNGN,AmountPaidNGN,State,ProBonoCase
CASE200097,SUIT/fhc/3651/2020,fatima nwosu,(268) 602-5922,Commercial dispute,Customary Court Enugu,Amara Balogun,25-Nov-2024,16.04.2026,30 June 2028,settled out of court,n/a,"NGN 3,138,281","₦764,162.98",Cross River,Yes
CASE200227,SUIT/fhc/8764/2025,Halima Eze,05240132234,Property law ,Kano State High Court,Kemi Adekunle,2021/12/17,11/06/2022,01/10/2023,settled out of court,pending,"NGN 10,584,406","N11,010,579",Delta,yes
CASE200355,SUIT/fhc/8241/2022,Femi Adekunle,234-494-653-984,Labour Law,Federal High Court Lagos,Tunde Lawal,19-Aug-2024,10/12/2025,13.05.2026,Adjourned,n/a,3213908.36 naira,-,Kano,N
CASE200370,SUIT/FHC/9266/2025,CHIDI BELLO,17350583199,Property Law,Court of Appeal Abuja,Kunle Okafor,08/01/2020,2020/09/21,08/02/2022,Active,Lost,"₦1,288,255.91","₦610,343.17",Lagos,FALSE
CASE200101,SUIT/fhc/3554/2023,  Grace Lawal,0384 983 0220,Property Law,Federal High Court Abuja,Aliyu Suleiman,02 August 2019,14 November 2020,20/05/2021,Adjourned,Withdrawn,"N10,934,200","₦3,257,257.73",Abuja,0
CASE200107,SUIT/FHC/6844/2024,YUSUF ADEYEMI,0489 952 9978,civil litigation,Federal High Court Lagos,Zainab Ogundimu,11/01/2022,2022-02-27,not set,Pending Hearing,pending,unknown,"NGN 5,030,036",Imo,Y
CASE200039,SUIT/fhc/665/2024,Chinedu Afolabi,(564) 757-0512,Civil Litigation,Magistrate Court Ikeja,Grace Olawale,08/05/2024,2025/06/19,,Adjourned,Lost,--,"NGN 11,182,435",ABUJA,Yes
CASE200038,SUIT/FHC/278/2021,HALIMA  YUSUF,+234427031207,CRIMINAL,Kano State High Court,Emeka Bello,08/05/2020,05-Apr-2021,2023/04/28,Adjourned ,Settled ,"N22,125,054","NGN 14,849,273",LAGOS,TRUE
CASE200313,SUIT/fhc/8619/2025,Chinedu Nnamdi,07573839597,Property law ,Kano State High Court,Halima Mohammed,04-Oct-2024,unknown date,16-Dec-2027,Adjourned ,Pending,13090886.75 naira,4491093.36 naira,Imo,TRUE
CASE200273,SUIT/FHC/2957/2019,sadiq olawale   ,+234459112382,CRIMINAL,Lagos State High Court,Grace Olawale,26.12.2021,30-Mar-2022,2022-04-02,Adjourned,Settled ,NULL,6030236.94 naira,Enugu,false
CASE200152,suit/FHC/344/2020,Femi Abubakar,0000000000,CRIMINAL,Kano State High Court,YUSUF MOHAMMED,2021/05/10,02-Dec-2021,13 May 2023,Closed,Pending,"NGN 23,107,636","₦19,422,467.80",Lagos,N
CASE200398,SUIT/fhc/9933/2024,  Ifeoma Olawale,234-439-284-044,CRIMINAL,Kano State High Court,Tunde Ogundimu,2021/06/11,2023/03/21,16.08.2023,Active,Lost,"NGN 22,773,862","N20,484,546",Oyo,N
CASE200295,suit/fhc/9540/2022,  Chioma Afolabi,+234326642147,Employment Law,Customary Court Enugu,Ngozi Afolabi,00/00/0000,26/07/2023,29.09.2024,Active,LOST,"NGN 21,916,161","NGN 13,967,735",Akwa Ibom,Yes
CASE200298,SUIT/fhc/2850/2023,SADIQ YUSUF   ,+234108573278,civil litigation,Lagos State High Court,Bisi Olawale,14-May-2023,,27.11.2025,Pending Hearing,Settled,n/a,"₦5,311,134.57",Cross River,No
