PlayerID,PlayerName,Nationality,DateOfBirth,Position,PreferredFoot,Academy,JoinDate,ContractEndDate,MonthlySalaryNGN,GoalsScored,Assists,AppearancesTotal,PlayerStatus,FIFARegistered,ContactPhone
PLY300176,Sadiq Chukwu,Ghanaian,2006-02-26,Forward ,Right,Shooting Stars Academy,not set,2023/10/06,"3,050,052.60 ",999,21,999,INJURED,No,234-318-491-966
PLY300182,Tobi Lawal,Ivorian,2001/02/20,Forward ,Right ,Kano Pillars Academy,18-Apr-2021,03.06.2023,721417.6,-3,  ,215,Active ,TRUE,91030021563
PLY300296,Halima Adekunle,Cameroonian,13-May-2010,Goalkeeper,Right ,Shooting Stars Academy,12/08/2024,25-Feb-2028,"₦6,496,166.40",999,-1,999,active,false,(243) 477-6958
PLY300032,Chinedu Ogundimu,Nigerian,01/13/2010,Goalkeeper,right foot,Kano Pillars Academy,25 September 2019,10 April 2024,"NGN 1,682,163",-3,-1,999,INJURED,0,234-195-256-904
PLY300155,Grace Balogun,nigerian,06.10.2006,DEFENDER,right foot,Enyimba FC Academy,22.09.2024,01 February 2029,"N4,244,026",999,-1,-1,Retired,TRUE,234-444-630-600
PLY300190,Fatima Suleiman,Ghanaian,05-Mar-2004,Goalkeeper,Right,Rivers United Academy,30 June 2023,,"NGN 5,044,321",-3,8,999,INJURED,no,08363146249
PLY300173,Blessing Chukwu,Malian,03 November 2012,Forward ,Right,Enyimba FC Academy,07/16/2021,31/10/2025,1871922.05,25,40,195,Loaned Out,N,0856 012 5625
PLY300434,Halima Chukwu,NIGERIAN,11/27/2012,DEFENDER,Both,Enyimba FC Academy,31/05/2021,29 July 2023,"₦4,991,278.42",13,,-1,Injured,FALSE,0028 515 5333
PLY300413,Yusuf Afolabi,Nigerian ,26/11/2015,Mid fielder,right,Sunshine Stars Academy,24.11.2024,2028/10/31,,999,-1,100,Loaned out,No,+234641758231
PLY300037,Bola Chukwu,Nigerian,15/11/2000,Mid fielder,Both,Lobi Stars Academy,05/03/2022,25-Apr-2025,"₦6,333,065.67",57,-1,92,Loaned out,TRUE,234-027-642-086
PLY300322,Chinedu Abubakar,Senegalese,2013-11-09,Mid fielder,right,Sunshine Stars Academy,15-Oct-2022,,"N7,253,010",54,28,-1,active,0,+234318751097
PLY300027,obinna balogun,Cameroonian,2008/12/18,Goalkeeper,LEFT,Shooting Stars Academy,2018/07/17,2020-03-30,"NGN 2,150,147",-3,6,-1,Injured,Y,(898) 027-1487
PLY300418,Bola Lawal,Cameroonian,,Forward ,both,Enyimba FC Academy,14 April 2021,unknown date,7689974.88 naira,19,6,183,Retired,no,06065274033
PLY300230,Zainab Ogundimu,Nigerian,2006-12-17,Mid fielder,right foot,Sunshine Stars Academy,19 July 2023,12/04/2024,null,-3,25,254,Active ,1,04461767929
PLY300344,Funmilayo Adeyemi,Cameroonian,12 September 2014,DEFENDER,Left,Rivers United Academy,03.10.2020,06/22/2022,5042117.15 naira,999,,-1,Loaned out,FALSE,(474) 175-9558
PLY300085,Kemi Adekunle,Malian,2011-04-16,Midfielder,Right ,Heartland FC Academy,30/06/2022,14/06/2024,2443390.37,999,-1,-1,INJURED,TRUE,54110825559
PLY300394,Wale Olawale,Nigerian,2008-08-18,Winger,both,Heartland FC Academy,N/A,09 October 2023,4859900.4,-3,-1,41,Retired,false,+234491256523
PLY300071,Fatima Mohammed,Senegalese,11-Dec-2015,Defender,LEFT,Sunshine Stars Academy,2021-09-17,2023/05/18,"NGN 2,456,082",57,16,--,Injured,0,+234016731882
PLY300323,fatima ajayi   ,Malian,17-Mar-2013,Mid fielder,Right ,Heartland FC Academy,2022/07/30,26 April 2026,N/A,n/a,-1,48,Loaned Out,1,0215 835 0344
PLY300135,Femi Ogundimu,Nigerian,06.10.2009,Centre Back,both,Shooting Stars Academy,11 June 2024,,"NGN 2,204,256",63,44,999,Active ,yes,0546 692 7589
PLY300114,Kunle Okeke,Cameroonian,2014/06/07,Defender,Right ,Heartland FC Academy,07/18/2019,24 May 2021,"NGN 4,245,789",19,?,999,Active,FALSE,09689313503
PLY300019,Funmilayo Ogundimu,Cameroonian,27-Jun-2014,Forward,right foot,Shooting Stars Academy,2022-12-23,10 June 2024,"NGN 2,436,469",21,-1,-1,Retired,true,0912 141 6141
PLY300059,Chinedu Abubakar,NIGERIAN,12/04/2015,Striker,Right,Shooting Stars Academy,12 June 2019,03/01/2021,"N3,677,369",22,44,140,active,N,0484 910 2562
PLY300287,Ibrahim Olawale,Ivorian,2000/08/25,Forward,Right,Rivers United Academy,2019-01-30,17 October 2022,"379,639.03 ",19,-1,165,Active,FALSE,44913421388
PLY300045,MUSA OKAFOR   ,Malian,25 June 2002,goalkeeper,Right ,Rivers United Academy,10/30/2018,2022/04/22,"N950,914",54,-1,-1,Retired,FALSE,0974 192 6764
PLY300249,Femi Olawale,Ghanaian,26/11/2009,Goalkeeper,right foot,Heartland FC Academy,27-Mar-2024,15-Jan-2029,"NGN 4,779,839",999,-1,999,Active ,FALSE,+234036890030
PLY300017,Sadiq Adekunle   ,Cameroonian,13 June 2015,Striker,Left,Kano Pillars Academy,24/03/2024,,"₦3,412,224.88",-3,3,999,Loaned Out,no,+234225223728
PLY300142,  kemi suleiman,Ivorian,26.07.2010,Centre Back,Both,Heartland FC Academy,N/A,06 August 2026,N/A,-3,-1,47,Active ,1,
