PlotID,OwnerName,OwnerPhone,LandUseCategory,TenureType,PlotSizeField,LandValueNGN,ZoningStatus,ApplicationDate,ApprovalDate,LGA,State,SurveyNumber,DisputeFlagged,GroundRentPaid
LND800419,obinna balogun,234-179-720-385,Government Reserve,Leasehold,9879.67,1896126164.62,Rejected,2022-03-08,23 March 2023,edo lga,Rivers,SRV/88064/2024,FALSE,N
LND800328,Chidi Okonkwo,(178) 509-0255,Agric,Leasehold,20430.93,"1,377,436,076.93 ",approved,18/07/2018,2019-07-17,Ogun LGA,Kaduna,SRV/10258/2015,yes,true
LND800111,YUSUF AFOLABI,37379274907,Industrial ,Deed,207603.44,"NGN 3,874,222,349",Approved,30.05.2019,2019/07/16,Abuja LGA,Cross River,SRV/51972/2011,yes,true
LND800164,Ibrahim Balogun,0361 618 8081,Govt Reserve,Deed of Assignment,9628.53,"₦3,238,610,469.50",Pending,27-Feb-2016,2018-02-07,AKWA IBOM LGA,Lagos,SRV/81500/2010,TRUE,no
LND800206,Ifeoma Abubakar,0953 263 8902,Industrial ,Certificate of Occupancy,44075.49,Unknown,Rejected ,03/14/2015,2015-12-07,KANO LGA,Anambra,SRV/39220/2012,N,Yes
LND800140,Chioma Nnamdi,0517 680 8662,residential,Right of Occupancy,50897.79,"₦535,534,587.09",PENDING,04-Jun-2020,10-Nov-2020,ABUJA LGA,Delta,SRV/10861/2022,TRUE,true
LND800216,Tunde Chukwu,0398 983 0650,Mixed use,Deed of Assignment,8361.33,2327016668.62 naira,Rejected ,2016/12/14,27-May-2018,AKWA IBOM LGA,Plateau,SRV/79145/2025,yes,Yes
LND800351,Tunde Ajayi,+234300915618,Commercial,Deed,28827.49,"₦4,205,122,955.19",Pending,2020-09-03,01/06/2022,ANAMBRA LGA,Anambra,SRV/66497/2024,no,false
LND800270,Sadiq Chukwu,+234701242446,Commercial,c of o,24245.75,"3,764,579,130.48 ",approved,2020/08/02,24-May-2021,Rivers LGA,Enugu,SRV/68498/2014,yes,No
LND800220,Amaka Eze,+234303911142,residential,C of O,32692.64,"NGN 3,028,804,999",Approved,2020-02-12,2021/07/09,Plateau LGA,Rivers,SRV/21605/2011,no,yes
LND800087,Chinedu  Okeke,0683 625 3666,Industrial ,Certificate of Occupancy,242839.39,933953983.59 naira,Rejected,08-Nov-2017,,kano lga,Akwa Ibom,SRV/90082/2022,No,Yes
LND800105,Segun Afolabi,(660) 465-5866,Mixed Use,CofO,33805.26,4171592026.80 naira,Under Review,11 December 2022,16 September 2023,Oyo LGA,Anambra,  ,TRUE,false
LND800116,Ibrahim Eze,(701) 595-9194,Residential,Leasehold ,25959.03,"₦4,564,603,043.92",approved,2023-08-04,05/01/2025,DELTA LGA,oyo,?,no,yes
LND800239,amaka yusuf,234-120-471-372,Government Reserve,Leasehold ,61836.49,"₦2,121,753,070.89",Under Review,04/03/2015,30/07/2015,plateau lga,Delta,SRV/62363/2025,false,TRUE
LND800197,Amara Eze,35885379821,Mixed Use,Leasehold ,328732.78,"NGN 1,994,942,186",Under Review,06 June 2023,,Rivers LGA,FCT,SRV/83857/2012,0,1
LND800041,Obinna Olawale,01537038240,Mixed Use,Deed of Assignment,17233.75,nil,Rejected,01/02/2023,2024-07-25,plateau lga,Imo,SRV/96359/2017,Y,FALSE
LND800380,Chioma Ajayi,16831139500,Commercial,CofO,24948.16,?,Revoked,2016/09/26,,Rivers LGA,Ibadan,SRV/54396/2015,Y,No
LND800015,Obinna Lawal,0841 560 8213,Industrial,Deed of Assignment,21896.36,"₦2,139,757,185.98",Rejected,01/25/2019,2020-06-05,KANO LGA,Edo,SRV/87577/2014,Y,0
LND800439,Wale Lawal,+234472629052,Government Reserve,Leasehold ,48559.78,"N702,170,994",Rejected,21-Feb-2020,,Plateau LGA,Port Harcourt,NIL,N,N
LND800102,Chidi Mohammed,0543 848 0752,Commercial,Deed of Assignment,12329.81,2950506718.21,Rejected,28/08/2021,17 August 2022,LAGOS LGA,Ogun,SRV/46626/2022,No,yes
LND800236,Yusuf Nnamdi,+234812657422,residential,Leasehold,38188.57,4850621681.47 naira,Rejected,2015/01/31,2016-11-20,IMO LGA,Lagos,SRV/58848/2012,no,false
LND800052,Ibrahim Yusuf,62339220715,Mixed Use,CofO,16326.06,"N3,664,648,012",Rejected ,2015-04-18,15/08/2016,Ogun LGA,Plateau,SRV/28495/2025,true,No
LND800106,Yusuf Abubakar,0254 837 4417,Residential,C of O,14652.69,"NGN 2,828,072,112",Approved,24.02.2017,19/06/2018,RIVERS LGA,Delta,SRV/77768/2015,FALSE,TRUE
