TaxpayerID,CompanyName,TaxType,Sector,RegistrationDate,AssessmentYear,TurnoverNGN,TaxLiabilityNGN,TaxPaidNGN,OutstandingNGN,ComplianceStatus,PenaltyNGN,ContactPhone,State,AuditFlag
TIN36522736,Musa Ogundimu Enterprises,PIT,  ,,2025,"₦7,821,814,747.53","NGN 1,263,623,613","₦1,067,939,441.65",195684170.9699999,Non-Compliant,"₦126,205,085.51",39190088991,Delta,N
TIN97574065,kunle afolabi enterprises,Company Income Tax (CIT),-,2021/08/29,2025,"₦12,784,199,540.96",2711291298.28 naira,"₦299,070,555.53",NIL,Under audit,,58281902217,Abuja,Y
TIN55770510,Bisi Suleiman Enterprises,Company Income Tax (CIT),Telecoms,not set,NULL,37055520467.12 naira,"NGN 9,623,718,574",3559708833.49 naira,"N6,064,009,740",Under Audit,"NGN 355,668,258",59887592129,Oyo,TRUE
TIN10567179,Ifeoma Yusuf Enterprises,Company Income Tax,Professional Services,2012-12-07,2022,"N12,843,614,308","NGN 911,422,904","₦358,214,254.62","₦553,208,649.07",compliant,unknown,04702059685,Anambra,TRUE
TIN90424729,Tobi Suleiman Enterprises,Education Tax ,Banking,23 August 2021,2024,"NGN 2,077,327,349",N/A,"287,102,193.87 ",248946847.2,Under audit,15034845.36 naira,(389) 260-8788,Kaduna,true
TIN24059718,Blessing Bello Enterprises,Personal Income Tax (PIT),Retail,04/04/2011,2022,"N21,841,225,953","₦4,909,771,458.82","N3,667,346,859","NGN 1,242,424,600",Compliant,"NGN 391,588,823",45400644547,Rivers,no
TIN14224455,Segun Mohammed Enterprises,Company Income Tax,FMCG,28/08/2016,2025,"NGN 5,143,606,714","N895,121,496","N844,191,445","NGN 50,930,051",Compliant,-,87260013651,Imo,Y
TIN31245020,Ibrahim Bello Enterprises,WHT,Oil & Gas,10/18/2019,2025,"₦29,773,328,626.52","NGN 4,678,223,301","2,197,873,561.15 ",,Partially Compliant,"₦39,947,888.99",0000000000,Anambra,N
TIN61277491,Kemi Okeke Enterprises,cit,Telecoms,08.11.2018,2024,21599108579.08,"₦1,945,971,540.70",678901731.33,"NGN 1,267,069,809",Compliant,,(946) 209-3556,Lagos,false
TIN49360048,ZAINAB  AFOLABI ENTERPRISES,WHT,Manufacturing,2020/06/01,2023,19507763926.12 naira,"N2,311,024,791","₦853,063,075.62","1,457,961,714.97 ",Non-Compliant,NULL,09758917045,Oyo,0
TIN48657323,Amaka Ajayi Enterprises,VAT,Manufacturing,2014-03-28,2023,"₦20,635,590,617.39","NGN 4,754,038,956",3087022889.18 naira,"N1,667,016,067",NON-COMPLIANT,"N173,804,147",(281) 822-3879,Ibadan,true
TIN63956982,Segun Mohammed Enterprises   ,Education Tax (EDT),Oil & Gas,2017/06/11,2020,"₦47,908,332,582.36","₦2,118,553,494.27",1324290268.95 naira,794263225.3199999,Exempted ,63212477.45,0429 907 4729,Imo,0
