ClaimID,PolicyNumber,PolicyType,InsurerName,CustomerName,CustomerPhone,IncidentDate,ClaimDate,CauseOfClaim,PremiumPaid,ClaimAmount,PayoutAmount,ClaimStatus,State,PolicyActive
CLM-70049,POL850827,Marine,Leadway Assurance,  NGOZI BALOGUN,(163) 287-0831,03/11/2024,12/02/2024,Medical Emergency,"NGN 1,765,954","₦2,403,085.23",0,Settled,Kaduna,Y
CLM-70321,POL828723,Motor,Leadway Assurance,tobi abubakar,(032) 365-1994,10 August 2023,28.09.2023,Medical Emergency,"₦550,815.68","₦432,315.48","NGN 377,356",pending,Akwa Ibom,FALSE
CLM-70002,POL678856,Motor Comprehensive,NEM Insurance,CHIOMA BALOGUN,00013389083,25-Aug-2024,2024-09-10,Fire,1457652.69,"N3,654,064",3555827.57,Pending,Delta,1
CLM-70319,POL512433,Health (Family),WAPIC Insurance,Musa Adeyemi,234-135-680-442,19/09/2023,,  Accident,1362803.8,"NGN 2,013,715",nil,REJECTED,Akwa Ibom,TRUE
CLM-70071,POL498290,Motor,WAPIC Insurance,Funmilayo Nwosu,51823374989,08/21/2023,25 September 2023,accident,1684195.89,"2,904,131.77 ",,Approved,Enugu,Y
CLM-70406,unknown,Marine,AXA Mansard,Wale Afolabi,+234698485833,23.07.2024,00/00/0000,Medical Emergency,"67,856.35 ","N4,730,830",0,Pending,Akwa Ibom,0
CLM-70442,POL599651,Marine,Custodian Insurance,Tunde Okafor,(918) 463-8655,10/05/2023,26-May-2023,Theft,"N836,047","₦4,662,583.29","4,264,240.45 ",Settled,Rivers,FALSE
CLM-70062,POL138105,Health (Family),Leadway Assurance,Ifeoma Okonkwo,234-663-193-149,15/05/2024,01 July 2024,Theft,"N1,308,534",4684613.51 naira,"₦820,110.81",Partially Approved,Delta,yes
CLM-70425,POL833859,Fire & Property,AIICO Insurance,Femi Lawal,0015 814 4914,26/05/2023,05-Jun-2023,accident,"N761,955","2,670,879.80 ","N422,748",Pending,Delta,Yes
CLM-70380,POL678874,Fire & Property,Custodian Insurance,Musa Bello,234-033-230-982,15/05/2023,20-Jun-2023,accident,1135253.85,3428128.04,-,Pending,Kano,Yes
CLM-70098,POL284654,Motor Comprehensive,NEM Insurance,Segun Okonkwo,0240 050 4556,01/10/2023,27/02/2023,Accident,"₦1,793,595.89",n/a,"₦887,232.46",REJECTED,Lag,false
CLM-70340,POL209448,Health (Family),AXA Mansard,Femi Nnamdi,03271040541,30.06.2024,18/07/2024,Flood,"₦1,567,423.42",1236144.84 naira,--,approved,Akwa Ibom,No
CLM-70185,POL841978,Life (Term),Custodian Insurance,Chinedu Nnamdi,05925556258,28/12/2022,2023/02/08,  accident,"NGN 718,109","NGN 775,005",  ,Rejected,Kaduna,TRUE
CLM-70114,POL971889,Fire & Burglary,AXA Mansard,Bisi Adekunle,00532931839,17/09/2024,2024/09/24,  accident   ,526804.51,"₦3,928,105.13","NGN 2,392,223",approved,Oyo,Y
CLM-70164,POL419348,LIFE (TERM),AXA Mansard,Blessing Bello,(722) 170-4303,06-Jan-2023,10-Feb-2023,Theft   ,712631.19,"₦3,830,496.16",727221.00 naira,Pending,Delta,FALSE
CLM-70459,POL328514,Fire & Property,WAPIC Insurance,chioma  abubakar,+234902601279,13/04/2023,28.05.2023,Accident,162308.59 naira,4187959.95,"₦705,175.62",approved,Kaduna,N
CLM-70360,POL272216,Motor,AXA Mansard,Chidi Mohammed,00307053457,08/05/2024,06/15/2024,Flood,"₦470,949.87",2325143.23 naira,"NGN 2,155,593",Partially Approved,Imo,N
CLM-70291,POL145939,Marine,NEM Insurance,Chidi Mohammed,0712 938 7005,04/06/2024,13/07/2024,accident,"₦633,643.89","N3,632,246","₦733,710.54",Approved,Ogun,Yes
CLM-70330,POL157349,Life,AXA Mansard,Adaeze Balogun,(590) 599-2937,2024-01-06,17/02/2024,Theft  ,"NGN 35,566","₦4,041,255.51",1859869.65 naira,Under Review,Imo,true
CLM-70109,POL538897,Fire & Property,AXA Mansard,Ibrahim Adekunle,(098) 593-1746,12-Aug-2024,2024/09/06,Third Party Liability,"1,197,441.32 ","₦3,410,163.64",null,Partially Approved,Cross River,Y
CLM-70119,POL851606,Motor,WAPIC Insurance,Blessing Abubakar,0766 177 1159,04 April 2023,04/20/2023,  accident,1109261.88 naira,"N953,966",374809.94,Pending,Plateau,FALSE
CLM-70357,POL356496,Life (Term),AXA Mansard,Femi Nnamdi,0471 324 7546,23/03/2023,04/06/2023,accident,"NGN 1,741,223","2,813,761.37 ","₦2,553,954.84",Pending,Kano,0
CLM-70435,POL596759,Motor Comprehensive,AXA Mansard,Segun Adeyemi,+234834110809,2023-02-10,2023-03-10,Theft ,"₦716,498.25",982044.97,"₦699,125.30",Under Review,Anambra,TRUE
CLM-70056,POL622469,Marine,Custodian Insurance,Fatima Okonkwo,07065627298,19 July 2023,2023/09/12,accident   ,"₦1,626,601.72","NGN 4,071,120",2935800.14 naira,Approved,Enugu,Yes
CLM-70204,POL145383,Life,AIICO Insurance,Wale Adekunle,+234733848421,2023-07-15,N/A,Medical Emergency,83207.07 naira,3305748.44,"N1,550,668",Rejected,Akwa Ibom,FALSE
CLM-70059,POL530311,Health (Family),WAPIC Insurance,Aliyu Abubakar,(708) 053-1003,2024-06-10,09-Aug-2024,FIRE,1268424.62 naira,970105.95 naira,"406,261.26 ",approved,Ogun,0
CLM-70174,POL201987,Health (Family),Custodian Insurance,amaka ogundimu,94731217271,2023-01-22,2023-03-22,accident   ,1366443.71 naira,"2,339,162.91 ",NGN 0,Pending,Anambra,No
CLM-70089,POL541307,Health (Family),AIICO Insurance,SADIQ  OKEKE   ,(086) 131-7127,2024/04/29,24-Jun-2024,Natural Disaster   ,"N1,760,412","NGN 4,934,675",651292.62 naira,Under Review,Cross River,Y
CLM-70032,POL867934,Motor Comprehensive,WAPIC Insurance,Amara Chukwu,(808) 412-4118,2024-09-29,2024-10-05,Fire,"1,628,541.57 ",3238776.23,"₦1,427,727.67",Rejected,Rivers,N
CLM-70136,POL963245,Life (Term),AIICO Insurance,  kunle balogun   ,(529) 751-6136,2024-08-07,20 September 2024,Accident,1240101.89 naira,"NGN 279,223","177,551.33 ",approved,KANO,TRUE
CLM-70024,POL572387,Motor,Leadway Assurance,chinedu afolabi   ,32677360260,02.11.2024,07-Nov-2024,Theft,"303,776.34 ","₦885,591.47",NGN 0,approved,Delta,No
CLM-70036,POL628313,Fire & Burglary,AXA Mansard,Tunde Ogundimu,02620450533,15.06.2024,2024/06/22,Theft,"₦1,348,555.86","N2,391,705",  ,Partially Approved,Plateau,no
CLM-70391,POL338742,Marine,AXA Mansard,Funmilayo Ogundimu,+234697972965,09-Nov-2023,05.01.2024,accident,?,3741420.53 naira,nil,REJECTED,Cross River,TRUE
CLM-70094,POL433507,Health,Leadway Assurance,Chidi Olawale,+234766270289,13-Aug-2023,31-Aug-2023,Theft,"NGN 488,259","NGN 1,588,744",  ,approved,Akwa Ibom,false
CLM-70116,POL606545,Health (Family),AIICO Insurance,  Sadiq Mohammed,10205395024,2024/06/23,05 August 2024,FIRE,802738.98,3064389.33 naira,"N1,873,440",Pending,Akwa Ibom,TRUE
CLM-70276,POL465226,Fire & Burglary,WAPIC Insurance,Tobi Lawal,(225) 790-5072,09/09/2024,2024/11/06,Medical Emergency,"N1,531,120","NGN 4,955,495",NIL,Under Review,Plateau,true
CLM-70352,POL641386,Motor,Custodian Insurance,Fatima Balogun,0168 685 4870,08/30/2023,29-Sep-2023,FIRE,"NGN 293,794","NGN 4,073,067",1151047.37,Settled,Ogun,no
CLM-70082,POL247111,Motor,AXA Mansard,Obinna Yusuf,+234771906594,08 September 2024,12-Oct-2024,Natural Disaster,1255843.44 naira,"₦3,233,395.27",null,Approved,Oyo State,Y
CLM-70004,POL590785,Motor,WAPIC Insurance,Chioma Ajayi,(351) 161-5594,24.09.2024,04/10/2024,Medical Emergency,"1,430,940.87 ","NGN 2,122,357",₦0.00,Rejected,Akwa Ibom,true
CLM-70458,POL707794,Health (Family),Leadway Assurance,Ibrahim Afolabi,(621) 372-1386,30/04/2023,2023-06-27,Flood,416106.37 naira,"NGN 554,787",N0,pending,Ogun,N
CLM-70386,POL668714,Marine,NEM Insurance,Fatima Eze,(530) 011-9721,07 October 2024,11/10/2024,Medical Emergency,"₦373,655.85",599703.83 naira,Unknown,Under Review,Kaduna,yes
CLM-70270,POL496077,HEALTH (FAMILY),Leadway Assurance,Ibrahim Balogun,06093796603,unknown date,03/10/2024,Theft    ,1133348.08,"NGN 4,344,443",unknown,pending,Cross River,no
CLM-70161,POL788108,Motor Comprehensive,AIICO Insurance,Wale Mohammed,06218518888,30.09.2023,2023/11/13,Accident,1276617.09 naira,2628551.31 naira,0,approved,Rivers,No
CLM-70423,POL775282,Health (Family),AIICO Insurance,Aliyu Chukwu,(024) 819-3466,09/17/2024,06 November 2024,Fire,NULL,"NGN 4,503,765","NGN 3,440,771",Pending,Edo,1
CLM-70050,POL182760,Health,NEM Insurance,BOLA AFOLABI,+234788957986,2024-11-08,2024/12/09,Third Party Liability,677040.8,"₦3,990,508.58",0.00 naira,Partially Approved,Cross River,false
CLM-70169,POL945197,life,AXA Mansard,SEGUN SULEIMAN,234-757-059-640,2023/06/11,01/08/2023,Fire,1117171.69 naira,2084867.82 naira,n/a,pending,Imo,TRUE
CLM-70234,POL775156,Health (Family),WAPIC Insurance,Chioma Ogundimu,(467) 854-4587,2023/12/19,12/19/2023,FIRE,"N1,492,931",4503038.44 naira,"₦661,324.38",Approved,Imo,TRUE
CLM-70206,POL729554,Health (Family),Leadway Assurance,Ibrahim Ogundimu,0712 082 6773,04/12/2024,22.12.2024,accident,"N1,013,910","N222,231",25717.11 naira,Rejected,Fct Abuja,false
CLM-70314,POL581430,MOTOR,AXA Mansard,Tunde Eze,0386 571 9182,04.10.2023,09/10/2023,accident,"N1,684,582","NGN 3,144,641",1821862.31,pending,Cross River,Y
CLM-70016,POL608136,HEALTH (FAMILY),AXA Mansard,kemi nnamdi   ,+234171822782,26/04/2023,2023-06-12,FIRE   ,"NGN 1,554,153",2261347.39,"₦1,899,221.75",Settled,Delta,Yes
CLM-70305,POL193563,Health (Family),AXA Mansard,Segun Chukwu,0648 149 1778,11/08/2023,18 November 2023,  accident,"1,682,949.35 ",-,N0,REJECTED,Kaduna,No
CLM-70132,POL123536,Life (Term),Leadway Assurance,Grace Afolabi,N/A,unknown date,05 December 2023,Natural  Disaster,226176.19,"N3,382,643","₦1,998,434.43",pending,Ogun,0
CLM-70053,POL190403,Health (Family),NEM Insurance,Ngozi Ajayi,(362) 316-6587,2024-05-19,20-May-2024,accident,665591.33,"N2,869,941",,Rejected,Anambra,Y
CLM-70035,POL317220,Fire & Property,AXA Mansard,Amaka Suleiman,(680) 112-8059,N/A,21 February 2023,Medical Emergency   ,"₦616,978.75","NGN 4,944,328","N1,014,604",Approved,rivers,false
CLM-70165,POL195620,Motor Comprehensive,AIICO Insurance,Zainab Eze,(548) 687-4034,04/05/2024,10-Apr-2024,Accident,"N468,896","₦3,464,752.79","₦2,759,627.86",Approved,Enugu,yes
CLM-70281,POL809388,Fire & Burglary,Leadway Assurance,Bola Adekunle,51713395962,11 February 2023,18-Mar-2023,Fire,null,"₦1,921,275.92",N/A,REJECTED,Edo,No
CLM-70348,POL720209,Life (Term),AIICO Insurance,Ifeoma Olawale,0115 869 3806,2023/12/21,29.12.2023,Natural Disaster,"₦739,113.57",2793565.09,,REJECTED,Edo,true
CLM-70033,POL486490,Life (Term),WAPIC Insurance,Tunde Ogundimu,+234493534874,01 July 2024,24 July 2024,Third  Party Liability,"185,287.60 ",--,,approved,Delta,No
CLM-70266,POL724094,Health,AXA Mansard,bola yusuf,50714611254,04/18/2023,09/06/2023,Accident,1717919.60 naira,2420363.60 naira,1034456.84,Settled,Delta,yes
