LoanID,BorrowerName,BorrowerPhone,Gender,LoanPurpose,PrincipalAmount,InterestRate_pct,DisbursementDate,MaturityDate,AmountRepaid,LoanStatus,CollateralType,LoanOfficer,State,NPL_Flag
MFL900025,Grace Okonkwo,+234544964759,male,Agricultural Input,"₦1,344,958.72",27.2,19/12/2024,24-Mar-2025,"N1,423,460",DEFAULTED,Vehicle,Grace Yusuf,Port Harcourt,false
MFL900167,Amara Yusuf,0717 320 3093,Female,Home Renovation,"NGN 4,174,671",30.86,08/29/2023,20 March 2024,"NGN 546,843",Fully Repaid,Land Title,Emeka Nnamdi,Rivers,TRUE
MFL900104,Bisi Nnamdi,01455616814,Male,Medical Bills,"N543,663",NIL,2022/07/28,not set,"NGN 59,873",active,guarantor,Wale Adekunle,Abuja,Yes
MFL900209,Kemi Bello,+234028140693,F,Medical Bills,1947447.08 naira,8.35,29-Jul-2024,30-Apr-2025,"N370,081",Defaulted,Land title,Sadiq Abubakar,Kano,1
MFL900130,Amaka Lawal,39382761539,Male,  SCHOOL FEES,"NGN 1,889,374",4.63,unknown date,24 September 2024,809733.49,Fully repaid,  ,Bola Nwosu,Rivers,TRUE
MFL900066,Chinedu Adekunle,+234060480589,Male,Medical Bills,"NGN 1,569,379",33.49,21-Jan-2024,05/21/2025,"N366,001",Active,Land title,Bola Afolabi,Ogun,Yes
MFL900033,Emeka Lawal,80774064930,male,Medical Bills,"N4,926,477",28.75,2022-01-11,2023/10/03,"₦1,856,642.47",Active,guarantor,Amara Balogun,Oyo,Yes
MFL900035,Ifeoma Yusuf,+234416389448,Female,  Agricultural Input,"NGN 2,848,432",12.72,28-Oct-2022,30 December 2023,?,Active,Land title,Grace Eze,Enugu,Yes
MFL900016,Emeka Afolabi,,Male,Medical ,"NGN 2,383,350",10.96,20/11/2023,17 February 2025,874146.27 naira,Defaulted,Shop Stock,FATIMA CHUKWU,Ibadan,No
MFL900014,Obinna Bello   ,0678 085 6271,Female,SCHOOL FEES,2274248.21,25.72,2023-09-13,28 July 2024,689500.04,Written Off,N/A,emeka yusuf,Kano,true
MFL900046,Adaeze Ajayi,(812) 735-8573,F,Medical ,"N4,466,274",4.25,21.11.2022,28 June 2023,"N1,625,589",Fully Repaid,Land Title,Blessing Suleiman,Cross River,Yes
MFL900370,Musa Ogundimu,+234735058319,Female,School Fees   ,4171522.25 naira,18.74,02 December 2024,15 November 2025,"N1,307,127",Fully Repaid,Guarantor,Obinna Abubakar,Edo,false
MFL900091,Chidi Ajayi,99880817703,M,Medical Bills,"N1,915,369",4.2,10/09/2022,23.09.2023,"₦188,655.94",Fully Repaid,n/a,ifeoma okeke,Rivers,TRUE
MFL900100,ADAEZE OKEKE,03397767199,F,Home Renovation,"1,175,693.20 ",29.96,2022/03/31,2023-07-05,"NGN 1,026,779",Defaulted,Land title,femi okeke,Akwa Ibom,1
MFL900282,ifeoma abubakar,08005375990,M,Medical Bills,"N3,841,414",30.72,2023/04/29,2023-11-08,"₦2,781,261.04",Fully repaid,N/A,ibrahim balogun,Delta,Yes
MFL900158,Femi Bello,234-269-212-447,male,  School Fees,1915508.43 naira,25.97,2022-11-05,09 March 2024,"NGN 1,731,951",Written Off,Guarantor,Chidi Yusuf,Ogun,FALSE
MFL900128,Tunde Nnamdi,+234772459928,F,  Business Expansion,"₦2,581,680.72",15.84,29 July 2024,12 December 2024,"N1,413,774",Defaulted,Land Title,Obinna Afolabi,Cross River,yes
MFL900068,Obinna  Eze   ,03646225179,male,  School Fees   ,2154592.03,8.69,01-Feb-2024,16/02/2025,583263.77 naira,Written Off,Guarantor,Halima Eze,Edo,no
MFL900384,Ifeoma Afolabi,234-950-033-423,M,Business Expansion,3486756.52,35.0,2023-02-23,03/09/2024,"1,411,198.82 ",DEFAULTED,Vehicle,Aliyu Balogun,Plateau,TRUE
MFL900081,wale nnamdi   ,234-084-325-621,female,  Business Expansion,"N2,009,346",  ,2023-05-25,09-Apr-2025,N/A,Fully Repaid,  ,chidi adeyemi,Ogun,TRUE
MFL900391,Ifeoma Olawale,0255 877 7496,M,Equipment Purchase,4968411.26 naira,5.86,28.03.2024,13 May 2025,556375.36 naira,Active,None,Chidi Okeke,Edo,true
MFL900345,Aliyu Nwosu,82043397189,female,  Petty Trading,3308100.14,20.91,26-Mar-2024,10/30/2024,"₦3,486,769.50",Written Off,NONE,AMAKA NNAMDI,Plateau,false
MFL900211,Ifeoma Olawale,234-187-186-375,Male,Petty Trading,1040073.24 naira,16.8,24-Oct-2022,2024-05-21,"NGN 95,883",Defaulted,NONE,amara okafor,Cross River,TRUE
MFL900073,Wale  Adekunle,(703) 352-1103,F,SCHOOL FEES   ,"2,258,036.50 ",3.48,2022/08/22,2024/08/06,"NGN 1,767,220",Fully Repaid,Shop Stock,Zainab Ajayi,Ogun,TRUE
MFL900113,Zainab Ajayi,0495 880 3955,male,Medical Bills,"4,589,980.87 ",18.8,2022-04-14,2023/06/25,"₦3,865,437.09",Defaulted,Vehicle,OBINNA OKONKWO,Rivers,FALSE
MFL900295,SADIQ MOHAMMED,+234326642147,Male,Petty  Trading,"N4,251,582",20.14,,03/22/2024,"NGN 602,013",DEFAULTED,Shop Stock,tunde abubakar,Port Harcourt,No
MFL900079,Funmilayo Suleiman,87800384576,Male,Medical Bills,973572.82 naira,11.2,01-Jan-2022,16/03/2023,"983,489.34 ",DEFAULTED,?,Aliyu Bello,Delta,false
MFL900271,aliyu olawale,76561248156,male,Equipment Purchase,464186.38 naira,16.23,2022-10-16,2024-03-16,"₦3,783.08",Active,NONE,Funmilayo Nnamdi,Enugu,TRUE
MFL900005,Bola Mohammed,09376904268,Female,School Fees,unknown,25.82,15.08.2023,24-Sep-2024,3507265.51 naira,Overdue,None,segun balogun,Enugu,N
MFL900266,Ngozi Yusuf,0123 476 4907,M,Business Expansion,1600300.09,23.59,18-Nov-2023,06 November 2025,1401484.84,Written Off,,EMEKA BELLO,Anambra,true
MFL900099,Wale Nnamdi,0094 077 7809,male,  Petty Trading   ,75031.49,5.94,,13/11/2024,"N42,932",Overdue,Land Title,tobi balogun,Enugu,No
MFL900276,Ngozi Ajayi,(931) 734-2069,F,Medical Bills,  ,19.53,2024/12/06,2025-08-15,"₦869,305.15",Written Off,Land title,HALIMA ABUBAKAR,Delta,N
MFL900162,sadiq ajayi,234-011-947-072,male,Agricultural Input,unknown,16.31,08-Dec-2023,10/04/2025,"N2,482,369",Overdue,Vehicle,GRACE ADEYEMI,Edo,N
