ReservationID,GuestName,GuestPhone,HotelName,RoomType,CheckInDate,CheckOutDate,NumberOfNights,RoomRatePerNight,TotalBill,BookingSource,PaymentStatus,State,Nationality,EarlyCheckIn
HRS200022,Amaka Chukwu,33705024972,Radisson Blu Ikeja,standard,2024-03-18,19 March 2024,1,299456.17 naira,299456.17 naira,ONLINE,Pending,Kano,American,N
HRS200020,Yusuf Mohammed,0567 491 6016,Transcorp Hilton Abuja,Standard,2025-03-09,,3,"NGN 57,978","173,934.09 ",ONLINE,Paid,Lagos,Lebanese,no
HRS200286,Tunde Eze,63928369294,Eko Hotel & Suites,Presidential,04 September 2024,05-Sep-2024,1,"₦316,472.27","₦316,472.27",Phone Booking,Paid,rivers,American,yes
HRS200199,  ALIYU ADEYEMI,+234728123567,Lagos Continental,Twin Room,08/17/2025,18/08/2025,1,"N34,740","34,740.02 ",Phone Booking,Paid,Oyo,Lebanese,Yes
HRS200217,Bola Adeyemi,(098) 591-6795,Lagos Continental,Presidential,01 September 2024,02/09/2024,1,"NGN 273,129","NGN 273,129",walk-in,Paid,Oyo,British,Yes
HRS200180,Chidi Balogun,234-199-423-767,Eko Hotel & Suites,Suite,20.08.2025,08/23/2025,3,"₦341,045.26","N1,023,136",Phone Booking,Pending,Abuja,British,Yes
HRS200105,Bola Bello,00338105955,Transcorp Hilton Abuja,Deluxe,2025-04-09,2025-04-11,2,"276,823.66 ",,Travel Agent,paid,Kaduna,American,yes
HRS200017,Chinedu Okonkwo,234-149-828-246,Eko Hotel & Suites,Standard,12/27/2024,,2,"N305,489","610,978.98 ",Phone Booking,Paid,Kaduna,British,0
HRS200249,Musa Chukwu,19128411730,Bon Hotel,Suite,02-Dec-2025,2025/12/04,2,245679.96,"N491,360",walk-in,Pending Payment,Oyo,Ghanaian,0
HRS200364,  halima nwosu,234-270-232-441,Transcorp Hilton Abuja,SUITE,12/08/2025,,7,"N186,789","NGN 1,307,520",Walk in,Refunded,Kaduna,Nigerian,Y
HRS200213,BLESSING AJAYI,45705458971,Radisson Blu Ikeja,Standard,2024-03-26,27 March 2024,1,301052.43,301052.43 naira,Walk-in,paid,oyo,Nigerian ,N
HRS200106,Chidi Suleiman,84269450053,Lagos Continental,Suite,2025-04-19,2025/04/21,2,"N33,359",66718.42 naira,Walk in,Pending Payment,Lagos,Nigerian ,false
HRS200351,Segun Bello,(121) 259-0203,Protea Hotel,standard,18/10/2025,23.10.2025,5,"₦184,357.93","₦921,789.65",Corporate,Paid,Abuja,British,Y
HRS200023,  Aliyu Nwosu,43992011669,Protea Hotel,SUITE,2024/06/26,28/06/2024,2,"₦343,715.01","₦687,430.02",Walk-in,Pending,ABUJA,American,no
HRS200016,Grace Balogun,(277) 689-6270,Radisson Blu Ikeja,Executive Room,07 March 2025,08-Mar-2025,1,"₦310,610.65","N310,611",ONLINE,PAID,Kano,Ghanaian,No
HRS200296,Bola Balogun,+234542144773,Eko Hotel & Suites,Presidential,2024/03/30,02/04/2024,null,"285,663.39 ","NGN 856,990",Corporate,paid,rivers,nigerian,FALSE
