RecordID,FarmerName,FarmerPhone,ProduceName,Quantity,Unit,PricePerUnit,TotalValue,Market,SaleDate,ProduceGrade,StorageFacility,State,TransportMode,Certified_Organic
AGR500318,Kemi Adeyemi,234-611-110-286,Palm Oil,1443.65,kg,40264.24,58127470.076,Oyingbo Market Lagos,unknown date,grade a,COLD ROOM,rivers,Motorcycle,yes
AGR500011,musa chukwu,+234604873682,Rice (Local),51.91,Tonnes,"N81,960",--,Oyingbo Market Lagos,09-Jun-2024,A,Cold Room,lagos,Bicycle,true
AGR500398,Tunde Afolabi,0178 509 0255,Beans,437.71,Crates,"NGN 26,233","11,482,533.97 ",Oyingbo Market Lagos,05-Aug-2024,Unknown,,Plateau,truck,no
AGR500427,Bola Ogundimu,55611404288,Cassava,4923.67,kg ,"NGN 60,408",297427432.5489,Dawanau Market Kano,18/08/2024,grade a,,KANO,TRUCK,TRUE
AGR500261,Musa Okonkwo,234-690-618-120,Plantain,2099.64,KG,-,"NGN 8,045,254",Dawanau Market Kano,03/22/2024,Premium,warehouse,Akwa Ibom,Truck,true
AGR500298,Sadiq Mohammed,234-057-303-627,Maize (Corn),3102.06,KG,"N14,583","NGN 45,237,465",Oyingbo Market Lagos,2024/11/11,Standard,N/A,Oyo,Bicycle,FALSE
AGR500094,Adaeze Eze,234-372-450-184,Rice (Local),1250.56,tonnes,"₦64,640.27",80836536.05119999,Dawanau Market Kano,,Reject,Cold Room,Abuja,Truck,TRUE
AGR500278,Bisi Chukwu,N/A,Sorghum,1661.9,Crates,"53,717.64 ","N89,273,346",Dawanau Market Kano,10 April 2025,Grade B,Cold Room,Akwa Ibom,truck,FALSE
AGR500140,Ngozi Nwosu,0631 403 5263,Onions,1107.62,kg,"NGN 30,916",34242670.41 naira,Mile 12 Market Lagos,28/04/2025,Premium,Cold Room,Plateau,Van,no
AGR500118,Aliyu Bello,00878057215,Onions,2213.28,Bags,"₦68,668.80","₦151,983,281.66",Oyingbo Market Lagos,18 March 2025,--,,Ogun,Van,Yes
