StaffID,FullName,Ministry,GradeLevel,DateOfBirth,AppointmentDate,BasicSalary,HousingAllowance,TransportAllowance,TotalAllowances,Deductions,NetPay,BankAccountNo,State,PayStatus
MDG300292,Yusuf Nwosu,ministry of works,Grade Level 9,1998/05/29,18/11/2004,"₦405,122.45","N101,281","N40,512","N251,565","₦86,036.09","₦570,651.57",2006620553,Plateau,PAID
MDG300102,Grace Olawale,Ministry of Works,GL-7,1982/12/26,2006-11-12,"₦616,137.76",154034.44 naira,"N61,614","NGN 282,969",41645.78,857460.52 naira,8940753114,Delta,Held
MDG300303,Ifeoma Adeyemi,Ministry of Justice,GL 7,1980/09/10,18.04.2005,"N110,471","N27,618",11047.12,29934.98,20164.12,"₦120,242.03",1918012510,Akwa Ibom,paid
MDG300288,Ifeoma Afolabi,Ministry of Health,GL-13,1987-02-10,14.08.2021,445484.36,"111,371.09 ","N44,548",188991.33 naira,"₦49,212.80",585262.89 naira,7071619980,Delta,Pending
MDG300366,Femi Bello,Ministry of Education,GL-16,1996-04-26,25/02/2008,"N157,196","NGN 39,299",15719.63,53850.26,"NGN 8,517","₦202,529.19",8476075760,Akwa Ibom,PAID
MDG300399,Aliyu Nnamdi,Ministry of Agriculture,GL-8,17/06/1966,25-May-2013,"₦707,384.30","NGN 176,846",70738.43,"₦539,650.68",null,"N1,150,330",6495001186,Anambra,PAID
MDG300393,Chioma Balogun,Ministry Of Science & Technology,gl-14,02/21/1981,2004-09-07,"510,191.38 ","127,547.85 ","NGN 51,019",259383.85,"N111,868","NGN 657,707",9458620027,Imo,Paid
MDG300285,Blessing Adekunle,Ministry of Works,GL-6,20/12/1978,27/06/2014,493034.87,123258.72 naira,"NGN 49,303","N388,789","N28,304",n/a,4744741920,Kaduna,Paid
MDG300254,Segun Abubakar,ministry of justice,GL-15,1986/08/02,21/08/2001,"NGN 308,796","NGN 77,199","N30,880",170237.53,"NGN 70,515",,8521125699,Lagos State,PAID
MDG300311,Halima Suleiman   ,Ministry of Education,GL-5,27/01/1991,11/04/2019,"NGN 109,548","NGN 27,387",10954.76 naira,84189.92 naira,19783.06 naira,173954.51,n/a,Kano,Suspended
MDG300275,Sadiq Suleiman,MINISTRY OF WORKS,GL-12,07/30/1997,27-Dec-2010,NIL,"NGN 53,230","21,291.99 ","₦77,931.19","NGN 19,159",271692.53 naira,4871560089,Imo,Pending
MDG300218,Bola Eze,Ministry of Education,GL-6,1971/03/16,2006/12/20,693120.5,"₦173,280.12","₦69,312.05","₦292,103.42","₦147,061.13",838162.7899999999,3248139051,Cross River,PAID
MDG300367,Wale Abubakar,ministry of agriculture,GL-13,21 July 1981,12/06/2008,"NGN 687,544",n/a,"N68,754","₦414,161.36",98607.02,"1,003,097.85 ",1352654179,Rivers,paid 
MDG300010,Bisi Olawale,MINISTRY OF WORKS,gl-14,16 February 1983,10/08/2021,"₦456,824.57",114206.14,"NGN 45,682",null,23362.42 naira,616251.5099999999,3548687136,Rivers,Paid
MDG300272,Femi Eze,Ministry of Works,GL-9,11/25/1990,04.01.2013,"164,643.60 ",,16464.36 naira,"61,804.33 ","NGN 22,827","₦203,620.49",8222952560,Edo,PAID
MDG300040,Funmilayo Ajayi,Ministry of Works,GL-13,07/04/1988,11-Sep-2019,"₦385,574.05","NGN 96,394",38557.40 naira,"₦162,687.80","₦26,437.10",521824.75,5058996803,Kano,Paid
MDG300141,Bola Abubakar   ,Ministry of Interior,GL-15,1982-05-24,04/01/2015,70799.18,"NGN 17,700","₦7,079.92",26506.73,"₦5,071.69",92234.21999999999,8503140023,Enugu,Held
MDG300348,wale chukwu,MINISTRY OF WORKS,GL-16,30.05.1974,14.05.2010,220313.32,Unknown,"NGN 22,031","N137,008","₦44,356.45",312965.21 naira,4371442794,Plateau,Suspended
MDG300297,halima abubakar,MINISTRY OF EDUCATION,GL-6,03/16/1969,27/03/2000,"₦97,931.18",24482.79,"₦9,793.12","45,391.45 ","₦6,238.54",,2675223557,Imo,paid 
MDG300368,Funmilayo Nnamdi,Ministry Of Finance,GL-4,27.02.1996,06/12/2007,,"NGN 87,421","N34,968","₦169,802.03","N19,854","₦499,629.76",4693210979,Kano,Paid
MDG300237,Bisi Ajayi,Ministry of Finance,GL-16,08/06/1966,24 October 2010,"777,512.84 ","₦194,378.21",77751.28 naira,195338.20 naira,"NGN 40,874",931977.45 naira,4200218672,Rivers,Deducted
MDG300034,Yusuf Nwosu,Ministry of Justice,GL-12,07/27/1994,29/12/2001,"487,640.60 ",121910.15,"NGN 48,764","N351,190",  ,"NGN 800,344",6458665351,kano,PAID
MDG300324,Ngozi Suleiman,ministry of finance,GL-11,1968/09/28,23 October 2021,591942.03 naira,147985.51 naira,"₦59,194.20",222871.99 naira,75524.22,"NGN 739,290",1863738656,Rivers State,Paid
MDG300432,SADIQ BALOGUN,Ministry of Education,GL-12,15.05.1987,2021-04-25,"NGN 736,964","184,240.94 ","NGN 73,696","N544,251","N97,046","NGN 1,184,169",1460677455,Cross River,Deducted
