SaleID,StationName,AttendantName,FuelType,LitersDispensed,PricePerLiter,TotalSaleAmount,Date,PumpNumber,PumpStatus,PaymentMethod,CustomerVehicle,State,ManagerApproved
FUL650054,Ardova Petroleum Wuse,Musa Afolabi,Automotive Gas Oil (AGO),26341.83,"₦1,163.97","30,661,099.87 ",13.12.2024,2,Faulty,cash,Generator,Akwa Ibom,0
FUL650332,Mobil Filling Station Ikeja,ADAEZE NWOSU,Automotive Gas Oil (AGO),25005.81,-,"N33,426,266",22/04/2025,0,Faulty,Cash,Generator,FCT,Y
FUL650070,Ardova Petroleum Wuse,Aliyu Adeyemi,ago,6631.54,NGN 939,"NGN 6,225,226",,0,Under Maintenance,CASH,Bus,Port Harcourt,false
FUL650069,Oando PLC Yaba,Halima Afolabi,AGO,unknown,"1,387.24 ","₦59,125,431.19",23.01.2025,1,functional ,POS,Keke,Delta,TRUE
FUL650298,MRS Oil Apapa,Emeka Ogundimu,pms,6274.91,"₦1,031.79","N6,474,389",05.11.2024,3,Functional,Fleet Card,TRUCK,Edo,true
FUL650226,Mobil Filling Station Ikeja,Segun Mohammed,AGO,35485.49,1200.49 naira,"NGN 42,599,976",01/11/2025,5,Under Maintenance,Transfer,TRUCK,Oyo,FALSE
FUL650441,Conoil Aba Road,YUSUF AFOLABI,pms,40301.5,"NGN 1,076","NGN 43,352,324",2024/08/31,0,Functional,CASH,Bus,Cross River,true
FUL650045,MRS Oil Apapa,Amara Yusuf,LPG,40554.52,"N1,136","NGN 46,055,335",20.08.2024,4,functional,Fleet Card,Generator,Ogun,yes
FUL650122,Ardova Petroleum Wuse,blessing eze,Premium,25981.08,"NGN 1,236","NGN 32,101,963",03/02/2025,0,functional ,Transfer,Truck,Edo,Y
FUL650219,Conoil Aba Road,Zainab Suleiman,Kerosene,38890.99,963.10 naira,"37,455,912.47 ",2025/03/04,-1,Under Maintenance,cash,Motorcycle,Cross River,No
FUL650307,NNPC Mega Station Lugbe,Bola Mohammed,Kerosene,41404.49,748.43,30988362.45 naira,11.09.2024,5,FAULTY,POS,Motorcycle,Oyo,false
FUL650458,Total Energies Surulere,Fatima Okeke,AGO,18908.5,"1,027.79 ","N19,433,967",25-Aug-2024,3,FAULTY,cash,Generator,Abuja,0
FUL650158,Conoil Aba Road,Kunle Yusuf,Diesel,26457.45,"1,201.87 ","N31,798,415",22-Jul-2024,1,functional,POS,car,LAGOS,false
FUL650190,Mobil Filling Station Ikeja,Adaeze Okonkwo,AGO,33610.34,706.08 naira,"NGN 23,731,589",22/01/2025,NIL,FAULTY,Cash,Car,Plateau,No
FUL650274,MRS Oil Apapa,Chidi Nwosu,LPG,12019.68,₦660.59,"N7,940,080",02 May 2025,1,functional ,Cash,Car,Enugu,No
FUL650310,Mobil Filling Station Ikeja,Chioma Okeke,pms,30244.62,NGN 905,--,2025-02-23,0,FAULTY,Fleet Card,Keke,Cross River,true
FUL650417,Total Energies Surulere,Tobi Adeyemi,PMS,n/a,"NGN 1,389",32659099.528399996,2024-11-28,3,FAULTY,cash,Truck,Anambra,yes
FUL650047,Conoil Aba Road,Ngozi Balogun,Diesel,29085.68,NGN 833,"NGN 24,237,679",12.01.2025,4,Under Maintenance,Coupon,Generator,Cross River,No
FUL650302,Mobil Filling Station Ikeja,  Kemi Lawal,Premium,18772.64,NGN 983,18460075.544,2025/05/19,null,Faulty,Fleet Card,Car,rivers,no
FUL650313,MRS Oil Apapa,Amara Lawal,LPG,7387.33,933.16 naira,"N6,893,561",07/11/2024,4,FAULTY,cash,Generator,Cross River,yes
FUL650398,NNPC Mega Station Lugbe,Zainab Chukwu,Premium Motor Spirit (PMS),34707.4,1196.29,"₦41,520,115.55",2024/11/26,-1,Out of Stock,Coupon,Bus,Oyo,true
FUL650366,NNPC Mega Station Lugbe,Musa Adekunle,LPG,32800.72,804.95 naira,"N26,402,940",14/05/2025,0,functional,CASH,car,Ibadan,0
FUL650098,Conoil Aba Road,Yusuf Olawale,Diesel,2780.05,"N1,029",2860866.05 naira,14-Feb-2025,n/a,FAULTY,cash,TRUCK,Ogun,Yes
FUL650004,Conoil Aba Road,Funmilayo Abubakar,LPG,36227.26,908.96,"₦32,929,130.25",04 July 2024,3,functional,Fleet Card,car,Kaduna,N
FUL650286,NNPC Mega Station Lugbe,Funmilayo Nwosu,Automotive Gas Oil (AGO),20017.5,"₦1,055.40","21,126,469.50 ",01/01/2025,1,functional,Cash,car,Port Harcourt,Y
FUL650413,Mobil Filling Station Ikeja,chioma lawal,LPG,43637.74,1094.12,"N47,744,924",2024/12/24,4,Functional,Cash,Truck,ABUJA,N
FUL650378,Conoil Aba Road,bisi  balogun,Diesel,25712.1,1347.11 naira,34637027.03 naira,2024-12-09,3,Faulty,cash,Motorcycle,Oyo,no
