StudentMatric,StudentName,University,Faculty,Department,DegreeType,Level,EntryMode,DateOfBirth,EnrollmentDate,CGPA,StudentEmail,PhoneNumber,State,ScholarshipHolder
Qka/36828/02,FEMI OGUNDIMU,Ahmadu Bello University (ABU),Science,Dept of Computer Science,Bsc,400,Direct Entry,22/05/1998,28 December 2023,NULL,femi.ogundimu@oauife.edu.ng,13736785082,Enugu,N
QPj/90425/02,Kunle Yusuf,Lagos State University (LASU),MANAGEMENT SCIENCES,Dept of Computer Science,B.Sc.,600,direct entry,30 May 2000,2019-11-13,NULL,kunle.yusuf@student.unilag.edu.ng,0225 358 4143,Oyo,yes
ZXP/88941/01,Chidi Balogun,University of Lagos (UNILAG),arts,Dept of Accounting,B.Ed,100,UTME,04 November 2000,25.09.2023,1.72,chidi.balogun@gmail.com,05523149135,Anambra,yes
gYK/36422/03,chioma abubakar   ,University of Lagos (UNILAG),Engineering,Dept of Law,Bsc,level 300,direct entry,12/16/2000,27-Oct-2021,3.0,chioma.abubakar@gmail.com,(229) 014-7679,Plateau,false
cdH/12790/04,Emeka Yusuf,Ahmadu Bello University (ABU),LAW,Dept of Electrical Engineering,B.Eng,200,UTME,21 October 1995,04/04/2020,4.9,emeka.yusuf@oauife.edu.ng,0311 656 6701,Rivers,TRUE
iXA/73107/01,yusuf okonkwo,University of Lagos (UNILAG),medicine,Dept of Computer Science,B.Sc.,400 level,Direct Entry,31.05.2004,12.03.2020,0.83,yusuf.okonkwo@oauife.edu.ng,06093796603,Plateau,no
iXG/72624/04,Sadiq Ajayi,Lagos State University (LASU),science,Dept of Economics,bsc,300,direct entry,10/05/2000,2023/12/07,1.08,sadiq.ajayi@oauife.edu.ng,+234399049027,KANO,true
aEh/57682/01,Adaeze Yusuf,Covenant University,Engineering,Dept of Electrical Engineering,B.Sc.,500,Transfer,18/04/2001,19 May 2020,2.03,adaeze.yusuf@student.unilag.edu.ng,234-278-681-447,Cross River,no
Hda/14000/04,aliyu ajayi,Lagos State University (LASU),Science,Dept of Economics,Bsc,400 level,Transfer,23 June 1998,21 December 2023,2.29,aliyu.ajayi@oauife.edu.ng,0866 524 0415,Imo,true
RPO/32832/03,Ngozi Abubakar,Obafemi Awolowo University (OAU),education,Dept of Accounting,bsc,400 level,UTME ,17 November 2005,21 March 2019,2.66,null,0008 484 0862,Akwa Ibom,true
FMC/95766/04,NGOZI OLAWALE,Covenant University,SCIENCE,Dept of Biochemistry,B.A.,100L,utme,07/11/1999,unknown date,3.27,ngozi.olawale@gmail.com,00307053457,Delta,No
aaY/46449/02,Zainab Yusuf,University of Nigeria Nsukka (UNN),Law,Dept of Electrical Engineering,Bsc,100L,UTME,06-Mar-2004,2021/09/21,3.61,zainab.yusuf@gmail.com,0095 214 5623,FCT,Y
DIg/67630/04,Ngozi Mohammed,Ahmadu Bello University (ABU),Engineering,Dept of Electrical Engineering,B.A.,400,UTME ,29.09.1996,17-Apr-2022,4.53,ngozi.mohammed@gmail.com,(648) 236-6299,Akwa Ibom,N
VVb/45601/01,Wale Balogun,Covenant University,SOCIAL SCIENCES,Dept of Computer Science,MBBS,400 level,Direct Entry,12-Aug-1996,2021-09-01,0.85,wale.balogun@student.unilag.edu.ng,N/A,Lagos State,Y
AgD/58089/04,Ngozi Okeke,Ahmadu Bello University (ABU),Arts,Dept of Physics,MBBS,200L,direct entry,28/08/1997,2020/12/10,2.39,Unknown,234-500-170-127,Kaduna,Yes
Ffc/47492/01,Zainab Mohammed,Obafemi Awolowo University (OAU),Medical Sciences,Dept of Computer Science,LLB,100,Direct Entry,07.06.1998,2019-03-25,4.49,zainab.mohammed@student.unilag.edu.ng,234-865-719-182,Enugu,1
NBZ/71735/01,Wale Afolabi,Obafemi Awolowo University (OAU),law,Dept of Economics,MBBS,100L,direct entry,01 November 2005,10.02.2023,3.4,wale.afolabi@student.unilag.edu.ng,63840666580,Anambra,1
VhT/44431/03,Amaka Mohammed,Ahmadu Bello University (ABU),MEDICINE,Dept of Physics,MBBS,200L,direct entry,02 November 1996,25 September 2023,2.58,amaka.mohammed@student.unilag.edu.ng,+234047743490,Anambra,TRUE
QiX/11511/04,Amara Afolabi,University of Nigeria Nsukka (UNN),arts,Dept of Physics,B.Eng,500,utme,1995-08-29,01/26/2020,3.45,amara.afolabi@oauife.edu.ng,234-353-465-549,Enugu,Yes
SNV/76029/03,Adaeze  Okeke,University of Lagos (UNILAG),MANAGEMENT SCIENCES,Dept of Biochemistry,M.Sc.,200L,Direct Entry,2010-10-01,10-Jan-2021,2.45,adaeze.okeke@student.unilag.edu.ng,234-788-957-986,Akwa Ibom,Yes
FTk/81144/02,Ibrahim Lawal,Covenant University,Medicine,Dept of Computer Science,B.Sc.,500,utme,08 December 1995,00/00/0000,1.35,ibrahim.lawal@gmail.com,40640909743,Plateau,Yes
OAj/80729/02,Chinedu Suleiman,University of Lagos (UNILAG),ENGINEERING,Dept of Electrical Engineering,Bsc,level 300,UTME ,31 August 2006,2022-09-08,0.97,chinedu.suleiman@gmail.com,0539 264 4220,Akwa Ibom,N
HID/40112/01,Fatima Bello,University of Nigeria Nsukka (UNN),Medical Sciences,Dept of Accounting,M.Sc.,100,UTME ,01/15/1997,11/18/2023,4.44,fatima.bello@gmail.com,01537147321,Kano,No
TPK/51302/01,segun yusuf,University of Nigeria Nsukka (UNN),MEDICINE,null,B.A.,300,Post-UTME,17/09/2010,23-Apr-2024,3.3,segun.yusuf@oauife.edu.ng,00013389083,Akwa Ibom,Yes
