AccountNo,CustomerName,CustomerPhone,DISCO,TariffCategory,AccountType,BillingMonth,UnitsConsumed_kWh,TariffRate_per_kWh,BillAmount,PreviousArrears,TotalAmountDue,PaymentStatus,MeterNumber,State
DISCO574345,Tunde Nwosu,02569961125,IBDC (Ibadan),Residential (R2),Postpaid,01/10/2024,2687.82,-,162855.01380000002,  ,"₦165,976.11",Paid,MTR8326285,Edo
DISCO642387,Obinna Adekunle,+234577242954,AEDC (Abuja),Residential (R2),Postpaid,N/A,2344.59,NGN 127,298536.6447,,"NGN 298,537",UNPAID,MTR1081719,Abuja
DISCO382098,Tobi Olawale,(702) 695-2499,AEDC (Abuja),r1,Pre-paid,29-Apr-2025,3987.92,NGN 119,473685.1376,--,"N473,685",UNPAID,N/A,Enugu
DISCO906974,AMAKA LAWAL,01286716323,EKEDC (Eko),commercial,POSTPAID,09/05/2024,1171.86,₦102.85,120525.80 naira,null,"NGN 120,526",Paid,MTR8777595,Oyo
DISCO216634,Chinedu Bello,0061 593 9982,EEDC (Enugu),Commercial (C1),prepaid,not set,2154.32,171.08 ,"368,561.07 ","₦68,721.71","437,282.78 ",Arrears,MTR1989763,Cross River
DISCO825396,Wale Eze,(308) 069-5814,EEDC (Enugu),Industrial (D3),prepaid,2024-03-18,3587.18,N126,"NGN 452,846","43,289.23 ",,Partial,n/a,Plateau
DISCO220105,Grace Abubakar,28861957612,IBDC (Ibadan),Industrial (D3),Postpaid,22-May-2025,127.91,NIL,24174.989999999998,65912.12,"₦90,087.11",Paid,MTR1879381,Ogun
DISCO410127,Blessing Lawal,22820055778,IKEDC (Ikeja),Industrial (D3),Post paid,2025-02-11,1275.98,NGN 139,"₦177,118.78","₦49,102.45",226221.2338,UNPAID,MTR2855743,Kaduna
DISCO650880,ADAEZE ADEKUNLE,88457831745,KEDCO (Kano),C1 ,Prepaid,22/05/2024,389.9,167.01,"65,117.20 ",N/A,65117.20 naira,Partially Paid,MTR3000237,Kano
DISCO815593,Grace Balogun,invalid,AEDC (Abuja),Industrial (D3),prepaid,15-Jul-2024,2462.66,NULL,461256.218,,"461,256.22 ",Unpaid,nil,Cross River
DISCO860781,Amaka Adekunle   ,(156) 193-1837,EEDC (Enugu),R2,Pre-paid,2024/08/19,678.04,208.68 ,"N141,493","N20,651",162144.84 naira,Partially Paid,n/a,Abuja
DISCO101026,Ibrahim Chukwu,87800384576,KEDCO (Kano),Residential (R2),prepaid,14/05/2025,1628.25,NGN 154,"₦250,506.26",,,Arrears,MTR9736618,Delta
DISCO589434,Zainab Eze,0426 258 2739,EEDC (Enugu),r1,POSTPAID,31.05.2024,,N215,941488.03 naira,?,"NGN 941,488",Partial,MTR9849783,Oyo State
DISCO493136,SEGUN SULEIMAN,+234928557498,PHED (Port Harcourt),Industrial (D3),Postpaid,31 July 2024,2154.68,62.29 naira,"NGN 134,215","NGN 2,247","₦136,461.73",paid ,MTR6622902,Abuja
